hh_id,participation_group,is_complete,is_survey_complete,num_days_complete,num_days_survey_complete,num_days_complete_weekday,num_days_survey_complete_weekday,num_complete_mon,num_survey_complete_mon,num_complete_tue,num_survey_complete_tue,num_complete_wed,num_survey_complete_wed,num_complete_thu,num_survey_complete_thu,num_complete_fri,num_survey_complete_fri,num_days_complete_weekend,num_days_survey_complete_weekend,num_complete_sat,num_survey_complete_sat,num_complete_sun,num_survey_complete_sun,signup_platform,diary_platform,first_travel_date,last_travel_date,num_people,num_participants,num_surveyable,num_adults,num_kids,num_workers,num_students,num_vehicles,num_trips,income_detailed,income_followup,income_broad,income_imputed,home_in_region,home_state,home_aog,home_mpo,home_county,home_puma_2012,home_puma_2022,home_bg_2010,home_bg_2020,sample_home_bg,sample_segment,university,student_housing,residence_months_1,residence_months_2,residence_months_3,residence_months_4,residence_months_5,residence_months_6,residence_months_7,residence_months_8,residence_months_9,residence_months_10,residence_months_11,residence_months_12,residence_dur,res_type,residence_rent_own,seasonal_res_state,seasonal_res_county,seasonal_res_bg_2020,seasonal_res_lon,seasonal_res_lat,seasonal_res_x,seasonal_res_y,num_bicycles,broadband,transit_more_1,transit_more_2,transit_more_3,transit_more_4,transit_more_5,transit_more_6,transit_more_7,transit_more_997,transit_more_999,transit_more_other,bike_more_1,bike_more_2,bike_more_3,bike_more_4,bike_more_5,bike_more_6,bike_more_7,bike_more_8,bike_more_996,bike_more_997,bike_more_other,completed_followon_hh,has_TuTh,has_MoFr,has_SaSu,tmp_seasonal_res_lon,tmp_seasonal_res_lat,chk_seasonal_res,segment_type_cleaned,seasonal_res_cleaned,seasonal_res_in_region_cleaned,residence_months_0_cleaned,hhsize_6cat,workers_4cat,num_months,num_vehicles_4cat,autosuf_wk,lifecycle,hh_children,hh_adults,hh_seniors,hh_weight_col_enrol,hh_weight,hCO_TAZID_USTMv3,hSUBAREAID_USTMv3,hCO_TAZID_USTMv4,hSUBAREAID_USTMv4
23472690,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-04-25,2023-05-01,4,3,4,3,1,2,0,3,96,7,995,5,,1,49,BRAG,Not in MPO,49003,3001,3000,490039602003,490039602003,490039605003.0,3,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,0,1,1,1,1,1,1,0,1,0,0,,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,4,2,12,3,Sufficient,2,1,3,0,,,3087,0,3087,0
23307416,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-04-24,2023-04-30,7,3,7,3,4,3,1,3,250,6,995,4,,1,49,BRAG,Not in MPO,49003,3001,3000,490039603006,490039603014,490039603006.0,1,,995,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,995,995,,,,,,5,2,1,1,0,1,1,1,1,0,0,,1,0,0,1,1,1,1,1,0,1,Places to actually park the bike when you get to wherever you are going,0,0,0,0,0,0,0,ABS,0,995,1,6,3,12,3,Sufficient,2,4,3,0,,,3111,0,3111,0
23317145,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-15,2023-06-21,4,2,4,2,2,2,0,2,56,7,995,5,,1,49,BRAG,Not in MPO,49003,3001,3000,490039604003,490039604003,490039604003.0,1,,995,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,995,995,,,,,,4,1,0,0,0,1,1,0,0,0,1,,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,4,2,12,2,Sufficient,2,2,2,0,,,3231,0,3231,0
23321176,9,0,1,0,5,0,5,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,rmove,rmove,2023-05-01,2023-05-07,1,1,1,1,0,0,0,2,36,8,995,5,,1,49,BRAG,Not in MPO,49003,3001,3000,490039604003,490039604003,490039604003.0,1,,995,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,49,49053,490532708024.0,-113.51997,37.1543,276217.170459606,4114962.90696774,1,995,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,ABS,2,1,1,1,0,12,2,Sufficient,3,0,0,1,,,3254,0,3254,0
23345703,9,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,rmove,rmove,2023-06-20,2023-06-26,2,2,2,2,0,1,0,2,44,5,995,3,,1,49,SE Utah,Not in MPO,49007,13001,13000,490070005002,490070005002,490070005002.0,28,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,0,2,1,1,1,1,1,0,0,0,0,,1,0,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,2,1,12,2,Sufficient,1,0,2,0,,,7001,0,7001,0
23333901,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-05,2023-06-11,1,1,1,1,0,0,0,3,26,5,995,3,,1,49,SE Utah,Not in MPO,49007,13001,13000,490070002002,490070002002,490070002002.0,28,,995,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,32,995,,-114.08119,36.8044,760400.015385043,4077149.75053175,1,5,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,ABS,2,0,1,1,0,12,3,Sufficient,3,0,0,1,,,7023,0,7023,0
23310994,9,0,1,0,6,0,4,0,1,0,1,0,1,0,1,0,0,0,2,0,1,0,1,rmove,rmove,2023-06-16,2023-06-22,5,2,5,2,3,2,2,2,200,5,995,3,,1,49,Uintah Basin,Not in MPO,49013,13001,13000,490139405001,490139405022,490139405001.0,28,,995,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,995,995,,,,,,0,2,0,1,0,0,0,0,0,0,0,,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,5,2,12,2,Sufficient,2,3,2,0,,,13010,0,13010,0
23399189,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-05-04,2023-05-10,2,2,2,2,0,2,0,2,78,4,995,2,,1,49,SE Utah,Not in MPO,49015,13001,13000,490159762004,490159762004,490159762003.0,28,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,2,2,0,0,0,0,0,0,0,1,1,Transit is not in our area.,0,0,0,0,0,0,0,0,1,1,We would need younger bodies :),1,0,0,0,0,0,0,ABS,0,995,1,2,2,12,2,Sufficient,3,0,1,1,,,15079,0,15079,0
23344154,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-04-28,2023-05-04,2,2,2,2,0,2,0,3,75,6,995,4,,1,49,Five County,Not in MPO,49017,21001,21000,490170003002,490170003002,490170003001.0,28,,995,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,995,995,,,,,,1,2,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,ABS,0,995,1,2,2,12,3,Sufficient,3,0,1,1,,,17001,0,17001,0
23424169,9,0,1,0,5,0,5,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,rmove,rmove,2023-05-11,2023-05-17,2,2,2,2,0,1,0,3,53,6,995,4,,1,49,SE Utah,Not in MPO,49019,13001,13000,490190002004,490190002004,490190002004.0,29,,995,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,8,995,,-106.42851,39.61932,377385.991364978,4386481.6758275,1,2,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,ABS,2,0,1,2,1,12,3,Sufficient,3,0,0,2,,,19033,0,19033,0
23468581,9,0,1,0,6,0,4,0,1,0,1,0,0,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-09,2023-06-15,7,2,7,2,5,1,0,2,229,2,995,1,,1,49,Five County,Not in MPO,49021,21001,21000,490211103002,490211103001,490211103002.0,12,,995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,995,995,,,,,,3,5,1,1,1,0,1,0,0,0,1,,1,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,ABS,0,995,1,6,1,12,2,Sufficient,2,5,2,0,,,21129,5,21032,5
23416203,9,0,1,0,6,0,5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,rmove,rmove,2023-06-19,2023-06-25,2,2,2,2,0,2,0,2,119,7,995,5,,1,49,Five County,Not in MPO,49021,21001,21000,490211107022,490211107023,490211107022.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,995,995,,,,,,0,2,1,1,0,0,1,0,0,1,0,No public transportation is available between my home and place of work,1,1,0,0,0,1,0,1,0,0,,1,0,0,0,0,0,0,ABS,0,995,1,2,2,12,2,Sufficient,1,0,2,0,,,21210,5,21096,5
23377630,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-05-25,2023-05-31,6,2,6,2,4,1,0,2,149,6,995,4,,1,49,Five County,Not in MPO,49021,21001,21000,490211107022,490211107023,490211107022.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,995,995,,,,,,6,2,0,0,0,0,1,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,ABS,0,995,1,6,1,12,2,Sufficient,2,4,2,0,,,21211,5,21096,5
23314300,9,0,1,0,3,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,rmove,rmove,2023-06-17,2023-06-23,3,2,3,2,1,2,0,2,77,5,995,3,,1,49,Five County,Not in MPO,49021,21001,21000,490211107022,490211107022,490211107022.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,995,995,,,,,,2,5,1,1,1,1,1,0,1,0,0,,1,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,3,2,12,2,Sufficient,2,1,2,0,,,21166,5,21113,5
23413492,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-10,2023-06-16,6,4,6,4,2,4,2,4,227,8,995,5,,1,49,Five County,Not in MPO,49021,21001,21000,490211107022,490211107022,490211107022.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,4,2,0,0,0,0,1,0,0,0,1,,1,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,ABS,0,995,1,6,3,12,3,Sufficient,2,2,4,0,,,21166,5,21113,5
23399398,9,0,1,0,6,0,5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,rmove,rmove,2023-05-23,2023-05-29,3,2,3,2,1,2,0,2,80,1,995,1,,1,49,Five County,Not in MPO,49021,21001,21000,490211107022,490211107024,490211107022.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,1,5,0,0,0,0,1,1,1,0,1,,0,1,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,ABS,0,995,1,3,2,12,2,Sufficient,2,1,2,0,,,21212,5,21115,5
23328446,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-07,2023-06-13,5,2,5,2,3,2,0,2,222,7,995,5,,1,49,Five County,Not in MPO,49021,21001,21000,490211107011,490211107043,490211107011.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,5,2,0,0,0,0,0,0,0,0,1,,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,5,2,12,2,Sufficient,2,3,2,0,,,21058,5,21140,5
23370821,9,0,1,0,6,0,4,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-05-17,2023-05-23,3,2,3,2,1,2,0,3,71,8,995,5,,1,49,Five County,Not in MPO,49021,21001,21000,490211107012,490211107032,490211107012.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,995,995,,,,,,3,2,1,1,1,0,1,0,1,1,0,there are no transit options in my town,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ABS,0,995,1,3,2,12,3,Sufficient,2,1,2,0,,,21171,5,21150,5
23380744,9,0,1,0,6,0,4,0,1,0,1,0,1,0,0,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-23,2023-06-29,2,2,2,2,0,0,0,2,18,7,995,5,,1,49,Five County,Not in MPO,49021,21001,21000,490211107012,490211107032,490211107012.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,995,995,,,,,,0,999,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,ABS,0,995,1,2,0,12,2,Sufficient,3,0,1,1,,,21170,5,21151,5
23350507,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-07,2023-06-13,4,2,4,2,2,2,0,2,157,5,995,3,,1,49,Five County,Not in MPO,49021,21001,21000,490211107012,490211107032,490211107022.0,10,,995,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,995,995,,,,,,0,2,0,0,0,0,1,0,0,0,1,,1,0,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,0,ABS,0,995,1,4,2,12,2,Sufficient,2,2,2,0,,,21170,5,21151,5
23479529,9,0,1,0,7,0,5,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,rmove,rmove,2023-06-14,2023-06-20,4,1,4,1,3,1,0,2,38,5,995,3,,1,49,Five County,Not in MPO,49021,21001,21000,490211104001,490211104001,490211104001.0,12,,995,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,995,995,,,,,,4,1,0,0,0,0,0,0,0,1,0,I live in a small community without much public transportation options. &lt;br/&gt;,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,ABS,0,995,1,4,1,12,2,Sufficient,2,3,1,0,,,21174,5,21173,5
