Bin,HBOth,HBSch_Pr,HBSch_Sc,HBShp,HBW,HV,IX_HV,IX_LT,IX_MD,LT,MD,NHBNW,NHBW,XI_HV,XI_LT,XI_MD
0,0.159665256,0.339058587,0.122580916,0.130693756,0.047367263,0.201911442,0,0,0,0.287773124,0.170651889,0.22191057,0.195493258,0,0,0
1,0.234417087,0.341580209,0.285256207,0.24823346,0.106306722,0.060303748,0,0,0,0.110357993,0.09578287,0.207193252,0.155931498,0,0,0
2,0.143110246,0.10053188,0.219783814,0.216629622,0.074413953,0.063383604,0.000242093,0.002218419,0.001807924,0.10951914,0.099198437,0.133642765,0.108987556,0.000264212,0.001689268,0.000531746
3,0.108162601,0.114277242,0.175738675,0.128529041,0.074569446,0.064656343,0.00080034,0.008534494,0.004002156,0.077216772,0.081735947,0.110117134,0.080809749,0.000399998,0.007051644,0.004886723
4,0.070833336,0.030677133,0.050807607,0.091632641,0.073206399,0.061014985,0.000934128,0.005992419,0.004817266,0.052389001,0.06064085,0.077499247,0.067196277,0.000746827,0.004538741,0.003807985
5,0.058198349,0.02063022,0.053539085,0.056208412,0.065068027,0.0426449,0.00044835,0.010493749,0.007832404,0.042262961,0.052888778,0.051599523,0.059012963,0.000651122,0.010002613,0.006937469
6,0.040139822,0.007462217,0.021261162,0.028833582,0.051092246,0.0401336,0.023261629,0.019637338,0.023508801,0.038053309,0.042675873,0.02942438,0.037634577,0.023682521,0.020452626,0.019047546
7,0.029528889,0.012207206,0.018094044,0.025010413,0.055211198,0.032207462,0.001498747,0.036144406,0.022311245,0.026152432,0.035025006,0.023715644,0.033631376,0.002610214,0.029762266,0.023082333
8,0.021875698,0.004326497,0.018466386,0.018830307,0.044264427,0.026225968,0.000899089,0.028408901,0.016514686,0.024393782,0.030539236,0.020729392,0.025935702,0.001598357,0.028937464,0.014829794
9,0.016217654,0.002835957,0.001976549,0.005378517,0.03910274,0.027537225,0.001255061,0.020956446,0.017592487,0.022648654,0.030873924,0.014837417,0.019443238,0.001404493,0.017559404,0.01262467
10,0.016872774,0.010198923,0.00346822,0.012490952,0.029586659,0.02343907,0.005283042,0.034488504,0.022403959,0.018276939,0.024854619,0.016765626,0.024435415,0.005723494,0.032857313,0.021854934
11,0.011117412,0,0.003615682,0.006699254,0.031601763,0.024572383,0.016045826,0.028545052,0.020688749,0.016966438,0.025058938,0.009826958,0.01880797,0.007255594,0.024163649,0.020265415
12,0.009827896,0.005455264,0.002315635,0.002388995,0.0348062,0.019383503,0.003066776,0.019830218,0.012232457,0.01387379,0.018566399,0.008941519,0.016346904,0.003347226,0.02311544,0.014042658
13,0.007855178,0.001310038,0.004605643,0.002446636,0.035144512,0.017834081,0.005787137,0.023429849,0.021641,0.013823424,0.019942129,0.009054972,0.011785464,0.006961935,0.021919652,0.020692337
14,0.006690402,0,0.001850428,0.001992103,0.020678291,0.016817951,0.014580526,0.021449694,0.022419411,0.012207471,0.016247564,0.010439865,0.021288086,0.015711183,0.022735704,0.02306518
15,0.006827773,0,0.003523384,0.001992138,0.027279743,0.015748113,0.01712091,0.027317307,0.025191174,0.011240095,0.015232324,0.007600943,0.013027543,0.016154535,0.030899139,0.019605975
16,0.007074869,0.001194826,0.000683658,0.002221145,0.022058923,0.013498034,0.006970525,0.020414232,0.017063244,0.00927891,0.012797747,0.005096079,0.010520718,0.006724717,0.019763152,0.016186793
17,0.004700411,0,0.000565102,0.00276124,0.01730374,0.011053734,0.027628859,0.041691349,0.058813531,0.008381918,0.011588271,0.0065349,0.012783067,0.032058765,0.045286499,0.057312264
18,0.004597942,0.003537808,0.0033241,0.002379381,0.014232478,0.010784376,0.009123878,0.026619237,0.019979873,0.007460436,0.011173545,0.001653283,0.008001815,0.010110388,0.027581267,0.020233015
19,0.003740511,0,0,0.000238864,0.012311782,0.009834975,0.014496909,0.050348856,0.039250871,0.006434024,0.009519726,0.002774692,0.006914538,0.020556971,0.043142248,0.037252686
20,0.002261525,0,0.000334894,0.000462856,0.012116118,0.008188715,0.042046131,0.04612341,0.053497926,0.005971741,0.0088548,0.001960863,0.005113853,0.040336849,0.043515567,0.052522742
21,0.002376144,0.000512039,0,0.000756271,0.008103519,0.008181391,0.008547315,0.024021626,0.01972491,0.005833325,0.00779886,0.002774286,0.004796721,0.011385639,0.022754953,0.018062197
22,0.003870229,0.003688961,0.00187347,0.000700256,0.011312648,0.007857781,0.018497017,0.028143765,0.027319734,0.00484979,0.007106044,0.001427824,0.003417402,0.014577445,0.025824335,0.02534654
23,0.003584797,0,0,0.003091995,0.008544279,0.006059616,0.011656298,0.022058788,0.022347944,0.004685743,0.005974698,0.001174613,0.004653064,0.015692369,0.021700328,0.022813601
24,0.002220863,0,0.003706718,0.00059188,0.005988661,0.00671416,0.014379844,0.016889842,0.016775445,0.004690011,0.006036022,0.002584222,0.005165107,0.009696484,0.016526944,0.016188699
25,0.001852372,0,0.0018776,0.000153486,0.005408116,0.005611499,0.011804421,0.019738854,0.017211973,0.004076455,0.005569511,0.000990342,0.001066395,0.008862949,0.01680635,0.017179766
26,0.00330945,0,0,0.000660345,0.004073896,0.005713492,0.01745538,0.01777721,0.018681877,0.003838681,0.004842626,0.001844455,0.001420422,0.02138478,0.016720603,0.020259698
