BIN,TRIPPURP,freqObs,TLFTYPE
0,HBOth,2.797206558982937e-113,GC
2,HBOth,0.0501675678232241,GC
4,HBOth,0.1013028599038744,GC
6,HBOth,0.138023280543612,GC
8,HBOth,0.1397201410682401,GC
10,HBOth,0.1193714161909456,GC
12,HBOth,0.0940787569199765,GC
14,HBOth,0.0719105588069415,GC
16,HBOth,0.0547720577708092,GC
18,HBOth,0.0421431808410582,GC
20,HBOth,0.0329447908082993,GC
22,HBOth,0.026196343756355,GC
24,HBOth,0.0211618752202144,GC
26,HBOth,0.01732812922527,GC
28,HBOth,0.0143469967105453,GC
30,HBOth,0.0119834944875748,GC
32,HBOth,0.0100776366360939,GC
34,HBOth,0.0085186802524951,GC
36,HBOth,0.0072283369603277,GC
38,HBOth,0.0061499709830306,GC
40,HBOth,0.0052416497843932,GC
42,HBOth,0.00447163642488,GC
44,HBOth,0.0038154249473014,GC
46,HBOth,0.003253755745144,GC
48,HBOth,0.0027712598586706,GC
50,HBOth,0.0023555127522348,GC
52,HBOth,0.0019963593316762,GC
54,HBOth,0.0016854221092742,GC
56,HBOth,0.0014157355686075,GC
58,HBOth,0.0011814693023691,GC
60,HBOth,0.0009777148773847,GC
62,HBOth,0.0008003193448134,GC
64,HBOth,0.0006457535168876,GC
66,HBOth,0.0005110065894347,GC
68,HBOth,0.000393501028535,GC
70,HBOth,0.0002910232509707,GC
72,HBOth,0.0002016667583695,GC
74,HBOth,0.0001237851919333,GC
76,HBOth,5.595336065824222e-05,GC
78,HBOth,2.149645118595206e-05,GC
80,HBOth,2.0051199482824656e-05,GC
82,HBOth,1.8723543301016216e-05,GC
84,HBOth,1.7502220301043334e-05,GC
86,HBOth,1.6377211151516325e-05,GC
88,HBOth,1.533958385096501e-05,GC
90,HBOth,1.4381359949575597e-05,GC
92,HBOth,1.3495399229438036e-05,GC
94,HBOth,1.2675300005123831e-05,GC
96,HBOth,1.1915312691483038e-05,GC
98,HBOth,1.121026467854422e-05,GC
100,HBOth,1.0555494873634104e-05,GC
102,HBOth,9.94679653327598e-06,GC
104,HBOth,9.380367223605204e-06,GC
106,HBOth,8.85276492690739e-06,GC
108,HBOth,8.360869460597118e-06,GC
110,HBOth,7.901848498955175e-06,GC
112,HBOth,7.47312759189721e-06,GC
114,HBOth,7.072363662252214e-06,GC
116,HBOth,6.697421536700475e-06,GC
118,HBOth,6.346353127687647e-06,GC
120,HBOth,6.017378936412189e-06,GC
122,HBOth,5.708871591844415e-06,GC
124,HBOth,5.419341178933493e-06,GC
126,HBOth,5.147422141894287e-06,GC
128,HBOth,4.891861576356368e-06,GC
130,HBOth,4.651508748262824e-06,GC
132,HBOth,4.4253056980024165e-06,GC
134,HBOth,4.212278806085569e-06,GC
136,HBOth,4.011531212060193e-06,GC
138,HBOth,3.822235991659495e-06,GC
140,HBOth,3.643630008722464e-06,GC
142,HBOth,3.475008368445684e-06,GC
144,HBOth,3.315719407230657e-06,GC
146,HBOth,3.1651601619998123e-06,GC
148,HBOth,3.0227722685095736e-06,GC
150,HBOth,2.888038243918959e-06,GC
152,HBOth,2.760478114053978e-06,GC
154,HBOth,2.639646350140068e-06,GC
156,HBOth,2.525129083813182e-06,GC
158,HBOth,2.4165415725490515e-06,GC
160,HBOth,2.313525890765969e-06,GC
162,HBOth,2.215748824465502e-06,GC
164,HBOth,2.1228999496988333e-06,GC
166,HBOth,2.0346898771629994e-06,GC
168,HBOth,1.9508486471686125e-06,GC
170,HBOth,1.871124260764268e-06,GC
172,HBOth,1.7952813343360712e-06,GC
174,HBOth,1.72309986624937e-06,GC
176,HBOth,1.6543741052912963e-06,GC
178,HBOth,1.588911511626409e-06,GC
180,HBOth,1.5265318019938426e-06,GC
182,HBOth,1.4670660716032807e-06,GC
184,HBOth,1.4103559859471912e-06,GC
186,HBOth,1.356253036432813e-06,GC
188,HBOth,1.30461785426492e-06,GC
190,HBOth,1.2553195775815343e-06,GC
192,HBOth,1.2082352672769337e-06,GC
194,HBOth,1.163249367422026e-06,GC
196,HBOth,1.1202532065053805e-06,GC
198,HBOth,1.0791445361191646e-06,GC
200,HBOth,1.0398271039904923e-06,GC
202,HBOth,1.0022102585470612e-06,GC
204,HBOth,9.662085824557454e-07,GC
206,HBOth,9.31741552799502e-07,GC
208,HBOth,8.987332257632392e-07,GC
