"SITE","SITE_DESCRIPTION","ROUTE","RT_TYP","MILEPOST","RAMP_ID","RAMP_BMP","COUNTY","FUNCTIONAL_CLASS","LATITUDE","LONGITUDE"
"-0321","US-6 0.1 miles W of SR-68, Elberta","0006","US-6","149.853","","","Utah","Rural Minor Arterial",39.951841,-111.957826
"-0650","151 East Main Street, Santaquin","0006","US-6","159.993","","","Utah","Urban Minor Arterial",39.975713,-111.782327
"-0327","SR 6   0.2 mile W of Center Street,  Spanish Fork  MP 174.652  FC 14","0006","US-6","174.652","","","Utah","Urban Principal Arterial - Other",40.113338,-111.634242
"-0312","SR 6   4.5 miles SE of SR 89,  Moark Jct.  MP 182.390  FC 02","0006","US-6","182.390","","","Utah","Rural Principal Arterial - Other",40.038281,-111.534617
"-0638","I 15 Santaquin","0015","I-15","243.780","","","Utah","Urban Principal Arterial - Interstate",39.965126,-111.786648
"-0349","I 15 1.6 miles N of Santaquin Int MP 246.735","0015","I-15","246.735","","","Utah","Urban Principal Arterial - Interstate",40.004882,-111.762202
"-0639","I 15 N. of SR-178, Payson","0015","I-15","250.320","","","Utah","Urban Principal Arterial - Interstate",40.048419,-111.739698
"-0655","I 15 100 South Spanish Fork","0015","I-15","255.582","","","Utah","Urban Principal Arterial - Interstate",40.107783,-111.677741
"-0611","I 15 1.34 miles S of SR 77 Int, Springville MP 258.933","0015","I-15","258.933","","","Utah","Urban Principal Arterial - Interstate",40.141369,-111.646487
"-0665","I 15 750 N, Springville","0015","I-15","261.075","","","Utah","Urban Principal Arterial - Interstate",40.177462,-111.646988
"-0667","I 15 2400 S Provo","0015","I-15","262.562","","","Utah","Urban Principal Arterial - Interstate",40.198394,-111.650734
"-0668","I 15 900 S  Provo","0015","I-15","264.530","","","Utah","Urban Principal Arterial - Interstate",40.221888,-111.671841
"-0306","I 15   2 miles N of Center Street,  Provo  MP 267.841  FC 11","0015","I-15","267.841","","","Utah","Urban Principal Arterial - Interstate",40.255621,-111.699319
"-0669","I 15 680 South, Orem MP 270.152","0015","I-15","270.152","","","Utah","Urban Principal Arterial - Interstate",40.284733,-111.725896
"-0641","I 15 N. of SR 52 800 N. ","0015","I-15","272.150","","","Utah","Urban Principal Arterial - Interstate",40.318482,-111.726596
"-0670","I 15 200 North,  Lindon MP 274.926","0015","I-15","274.926","","","Utah","Urban Principal Arterial - Interstate",40.343262,-111.757886
"-0671","I 15 0.75 Miles N of SR 180 (500 East), American Fork MP 277.555","0015","I-15","277.555","","","Utah","Urban Principal Arterial - Interstate",40.367744,-111.796055
"-0672","I 15 300 N, American Fork","0015","I-15","279.272","","","Utah","Urban Principal Arterial - Interstate",40.383218,-111.830221
"-0673","I 15 1200 N, Lehi MP 281.502","0015","I-15","281.502","","","Utah","Urban Principal Arterial - Interstate",40.40317,-111.852098
"-0674","I 15 N of SR 92, Lehi","0015","I-15","284.974","","","Utah","Urban Principal Arterial - Interstate",40.438999,-111.89784
"-0302","I 15  12900 South  M.P.  290.896  FC 11","0015","I-15","290.896","","","Salt Lake","Urban Principal Arterial - Interstate",40.515107,-111.891745
"-0680","I-15 NB Collector","0015","I-15","296.9060","0015PC29401","001.4700","Salt Lake","Urban Principal Arterial - Interstate",40.60135,-111.903567
"-0816","I 215 South Interchange Via I-15 NB @MP 300.35","0015","I-15","300.350","","","Salt Lake","Urban Principal Arterial - Interstate",40.650487,-111.901575
"-0629","I 15 2900 South  MP 304.342  FC 11","0015","I-15","304.342","","","Salt Lake","Urban Principal Arterial - Interstate",40.707881,-111.90423
"-0616","I 15 0.7 miles N of I 215 On-Ramp, North Salt Lake MP 314.653","0015","I-15","314.653","","","Davis","Urban Principal Arterial - Interstate",40.8506,-111.91224
"-0315","I-15 0.56 Miles S of Davis Corridor MP 321.6560","0015","I-15","321.6560","","","Davis","Urban Principal Arterial - Interstate",40.948029,-111.891601
"-0612","I 15 N of SR 126 Int, Layton MP 331.326  FC 11","0015","I-15","331.326","","","Davis","Urban Principal Arterial - Interstate",41.067263,-111.970084
"-0348","I 15   0.5 mile S of 31st Street,  Ogden  MP 341.250  FC 11","0015","I-15","341.250","","","Weber","Urban Principal Arterial - Interstate",41.19604,-112.000256
"-0613","I-15 0.65 miles N of Perry POE","0015","I-15","359.8045","","","Box Elder","Urban Principal Arterial - Interstate",41.449186,-112.055613
"-0310","I 15 Riverside MP 385.899","0015","I-15","385.899","","","Box Elder","Rural Principal Arterial - Interstate",41.789116,-112.172102
