O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1793,45021,2121,44759
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,775,12527,861,12535
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1545,33509,1805,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2875,70829,3231,71979
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2521,50456,2611,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2674,70822,2814,70614
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,616,11162,688,11190
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,3031,39705,2338,42459
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1142,20623,1261,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,897,15411,1017,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1913,31631,1620,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2690,54445,2272,54366
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3303,74012,2863,73952
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,1023,18704,1159,19038
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,3319,54638,2612,53211
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,2177,30445,1752,28920
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,2087,24860,1885,25229
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,2333,24274,1637,27606
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2691,40873,2380,45969
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,722,9176,717,8805
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,712,10973,720,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,760,11692,673,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,867,10394,811,8912
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,734,10302,658,10553
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,773,13194,918,11221
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1051,21899,1133,21357
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,562,6250,542,6259
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,867,7608,741,10646
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1468,27983,1481,27470
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,544,4810,575,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,669,12687,737,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1094,10953,1013,10872
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,644,6641,601,6615
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,861,17248,976,15088
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1443,36019,1436,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,881,12049,892,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,973,15739,901,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,675,8425,691,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,864,10754,824,8885
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,836,9833,809,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,655,9171,621,9561
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,627,7690,671,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1859,33134,1973,30225
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1850,37500,1699,37620
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1267,14157,1108,14171
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1853,30171,1629,30180
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1465,18446,1332,18382
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1398,21033,1354,21303
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1939,49258,1903,48682
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,511,5709,489,6213
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,485,6563,510,6629
