O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
969,"40.7682608222,-111.88966135" ,1075,"40.7635231122,-111.844001402" ,660,5167,657,5154
969,"40.7682608222,-111.88966136" ,742,"40.7810990702,-111.978586809" ,766,11743,1061,13641
969,"40.7682608222,-111.88966137" ,480,"41.1122950258,-111.983491621" ,2113,43641,2380,47002
969,"40.7682608222,-111.88966140" ,866,"40.6929929672,-111.955138624" ,895,15149,1217,14701
1153,"40.729610314,-111.850966053" ,1075,"40.7635231122,-111.844001402" ,881,6440,734,6399
1530,"40.5456096957,-112.013648996" ,1400,"40.5172534,-112.0970321" ,727,9439,712,9564
1743,"40.5504323408,-111.838388035" ,972,"40.7660876563,-111.889660847" ,1959,30079,1734,32304
1743,"40.5504323408,-111.838388037" ,1075,"40.7635231122,-111.844001402" ,2197,32797,2116,32891
1763,"40.5090001685,-111.875919319" ,972,"40.7660876563,-111.889660847" ,1978,32001,1613,32268
1763,"40.5090001685,-111.875919321" ,1657,"40.6323959258,-111.811036752" ,1500,20189,1368,26130
925,"40.6580945156,-111.935229288" ,1728,"40.5615693283,-111.894569839" ,958,14883,1039,14950
1218,"40.6934674976,-111.874152093" ,972,"40.7660876563,-111.889660847" ,1051,9465,990,9545
1324,"40.6726892565,-111.818289797" ,1657,"40.6323959258,-111.811036752" ,502,7414,670,6449
1407,"40.519692227,-112.028651354" ,972,"40.7660876563,-111.889660847" ,2483,41245,2274,45114
637,"40.8605977528,-111.864157055" ,972,"40.7660876563,-111.889660847" ,1295,15899,1241,15485
637,"40.8605977528,-111.864157057" ,1657,"40.6323959258,-111.811036752" ,1837,40446,1871,39971
520,"41.0314446881,-111.953212184" ,972,"40.7660876563,-111.889660847" ,1751,35437,1596,37523
520,"41.0314446881,-111.953212185" ,383,"41.1912699262,-111.943197091" ,1506,23714,1509,23654
541,"41.0667418181,-111.953137428" ,480,"41.1122950258,-111.983491621" ,704,7505,664,7535
541,"41.0667418181,-111.953137429" ,972,"40.7660876563,-111.889660847" ,1801,39864,1652,40171
570,"40.985157543,-111.8864262" ,1234,"40.6589866456,-111.892400751" ,1689,39734,1622,39529
570,"40.985157543,-111.8864262" ,1075,"40.7635231122,-111.844001402" ,2089,31441,1786,31319
570,"40.985157543,-111.8864262" ,527,"41.083494348,-111.979403442" ,764,15375,1030,15693
570,"40.985157543,-111.8864262" ,383,"41.1912699262,-111.943197091" ,1387,26283,1450,26932
469,"41.1174540933,-112.021162864" ,480,"41.1122950258,-111.983491621" ,742,5839,659,6018
469,"41.1174540933,-112.021162865" ,972,"40.7660876563,-111.889660847" ,2187,46974,1985,49094
469,"41.1174540933,-112.021162866" ,364,"41.1916789322,-111.986637648" ,796,10839,745,11394
359,"41.2202940206,-111.942716393" ,565,"40.9845140308,-111.904247099" ,1672,28888,1571,34862
359,"41.2202940206,-111.942716395" ,468,"41.098871553,-112.031130041" ,1323,21760,1419,22017
152,"41.2988910355,-112.035010722" ,565,"40.9845140308,-111.904247099" ,1928,43650,1758,43909
152,"41.2988910355,-112.035010724" ,215,"41.2636773225,-111.998400377" ,700,9586,677,8230
296,"41.1656460013,-112.036667143" ,480,"41.1122950258,-111.983491621" ,965,10635,904,10791
268,"41.1810342356,-112.112721726" ,327,"41.2248585899,-111.971789543" ,1137,15577,1045,14656
191,"41.3086296347,-111.959284706" ,383,"41.1912699262,-111.943197091" ,1253,14844,1279,14920
191,"41.3086296347,-111.959284707" ,480,"41.1122950258,-111.983491621" ,1690,32594,1602,32196
191,"41.3086296347,-111.959284708" ,972,"40.7660876563,-111.889660847" ,3183,73274,2922,75294
213,"41.2581611606,-112.015602982" ,327,"41.2248585899,-111.971789543" ,738,8034,758,8273
213,"41.2581611606,-112.015602983" ,609,"40.889133505,-111.888931822" ,1947,47972,1790,47781
467,"41.0963910392,-112.0549463" ,972,"40.7660876563,-111.889660847" ,2318,47059,2156,49154
467,"41.0963910392,-112.0549465" ,480,"41.1122950258,-111.983491621" ,1065,10754,884,10697
934,"40.6457884605,-112.020107496" ,811,"40.7004608099,-112.027377005" ,601,6516,560,6516
934,"40.6457884605,-112.020107497" ,1469,"40.6061126176,-111.943808272" ,995,10722,1007,11058
46,"41.5094275697,-112.013403371" ,383,"41.1912699262,-111.943197091" ,2101,45306,2124,45260
969,"40.7682608222,-111.88966139" ,2384,"40.2504896532,-111.649761944" ,3268,72800,3685,72582
