I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,SH_LT,SH_MD,SH_HV,Ext_MD,Ext_HV,HBSch,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW
         1,         1,   133388.95,    11162.85,     9659.93,    50613.93,     4160.71,     4131.75,           0,     7176.04,    17360.26,           0,           0,           0,    18447.12,     8646.56,     2030.98,           0,           0,     8292.45,    12401.19,     1238.25,     7645.66,      469.16
         1,         2,      945.78,       56.41,        4.34,      389.84,           0,           0,           0,       70.56,      140.89,           0,           0,           0,      150.23,      107.55,       26.31,           0,           0,           0,       62.62,        6.23,       73.15,        2.64
         1,         3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,    10487.77,     1970.96,      455.27,     3492.85,      235.61,      349.79,           0,      754.17,      865.00,           0,           0,           0,      503.19,     1244.14,      619.48,           0,           0,      585.39,     2196.58,      226.73,      793.31,       39.06
         1,         5,     5042.41,     1317.44,       99.28,     1435.28,       17.18,       24.64,      230.00,      495.37,      395.07,           0,           0,           0,      209.17,      476.03,      350.84,           0,           0,       41.79,     1486.67,      171.58,      529.49,       34.74
         1,         6,        2.79,        0.10,           0,        2.00,           0,           0,           0,        0.07,        0.12,           0,           0,           0,        0.11,        0.32,        0.07,           0,           0,           0,        0.10,           0,        0.07,           0
         1,         7,        0.02,           0,           0,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     3167.26,      996.97,       15.53,      859.74,       13.32,       17.60,       24.00,      426.68,      300.87,           0,           0,           0,      169.68,      186.26,      164.45,           0,           0,       30.91,     1150.41,      155.59,      456.04,       30.66
         1,         9,      541.28,      161.09,       13.43,      185.58,        2.25,        1.70,           0,       68.65,       64.77,           0,           0,           0,       17.59,       23.67,        3.06,           0,           0,        3.95,      181.92,       20.89,       70.86,        2.39
         1,        10,        0.38,           0,           0,        0.38,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        11,      181.08,       78.60,        8.06,       83.28,        0.02,           0,           0,        4.99,        6.06,           0,           0,           0,           0,        0.18,           0,           0,           0,        0.02,       87.27,        8.70,        5.33,        0.32
         1,        12,      846.50,      239.25,       16.20,      492.98,        0.24,           0,       10.00,       33.01,       53.89,           0,           0,           0,        0.05,        1.31,           0,           0,           0,        0.24,      265.82,       27.10,       34.07,        0.97
         1,        13,      320.53,       88.92,       15.00,      172.07,           0,           0,        6.00,       13.94,       24.16,           0,           0,           0,           0,        0.62,           0,           0,           0,           0,      103.94,       15.11,       14.07,        0.12
         1,        14,      895.60,      268.46,       23.03,      486.05,        0.10,           0,        7.00,       32.25,       78.31,           0,           0,           0,        0.02,        0.57,           0,           0,           0,        0.10,      295.60,       27.15,       34.07,        1.70
         1,        15,        7.73,        5.34,           0,        2.36,           0,           0,           0,           0,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,        5.43,        0.09,           0,           0
         1,        16,      123.55,       50.48,        8.08,       59.77,           0,           0,           0,        0.27,        5.06,           0,           0,           0,           0,           0,           0,           0,           0,           0,       53.40,        3.15,        0.27,           0
         1,        17,      135.85,       46.49,        6.81,       77.60,           0,           0,           0,        0.18,        4.85,           0,           0,           0,           0,           0,           0,           0,           0,           0,       50.34,        4.17,        0.18,           0
         1,        18,        1.11,        0.92,        0.05,        0.13,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.92,        0.01,           0,           0
         1,        19,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        20,       15.12,       14.60,           0,        0.53,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,       16.00,        1.52,           0,           0
         1,        21,        5.94,        0.94,           0,           0,           0,           0,        5.00,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.99,        0.04,           0,           0
         1,        22,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        26,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        27,     6073.45,           0,           0,           0,           0,           0,           0,           0,           0,     5039.10,           0,           0,           0,           0,           0,      526.18,      507.79,           0,           0,           0,           0,           0
         2,         1,     3509.63,      526.50,      429.76,     1342.75,      284.08,      354.02,           0,       62.69,      142.51,           0,           0,           0,      224.89,      117.67,       24.96,           0,           0,      638.10,      583.88,       57.38,       66.59,        3.90
         2,         2,     2504.80,       47.85,      118.84,     1518.54,           0,           0,           0,       37.66,      178.18,           0,           0,           0,      406.95,      170.12,       26.64,           0,           0,           0,       53.58,        5.73,       39.16,        1.50
         2,         3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,         4,      571.61,      144.22,        6.30,      206.69,       37.58,        6.42,           0,       27.73,       30.00,           0,           0,           0,       32.24,       52.45,       28.35,           0,           0,       43.99,      160.98,       16.82,       29.27,        1.57
         2,         5,      348.26,      101.00,        7.63,      144.30,       12.97,        2.26,           0,       17.62,       17.76,           0,           0,           0,       18.96,       13.09,       13.08,           0,           0,       15.22,      114.39,       13.49,       18.84,        1.29
         2,         6,        0.33,        0.01,           0,        0.26,           0,           0,           0,        0.01,        0.01,           0,           0,           0,        0.02,        0.01,        0.01,           0,           0,           0,        0.01,           0,        0.01,           0
         2,         7,        0.03,        0.01,           0,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.01,           0,           0,           0
         2,         8,      233.62,       67.22,        2.91,       91.53,       16.95,        0.41,           0,       13.07,       13.70,           0,           0,           0,       16.68,        8.49,        3.19,           0,           0,       17.35,       77.80,       10.84,       14.02,        0.99
         2,         9,       69.22,       16.21,        4.74,       33.86,        4.42,           0,           0,        2.93,        4.76,           0,           0,           0,        0.35,        2.03,        0.01,           0,           0,        4.42,       18.61,        2.41,        3.06,        0.13
         2,        10,        0.11,           0,           0,        0.11,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        11,       27.12,       10.32,        2.20,       14.40,           0,           0,           0,        0.01,        0.20,           0,           0,           0,           0,           0,           0,           0,           0,           0,       11.62,        1.34,        0.01,           0
         2,        12,      105.34,       31.16,        6.99,       64.97,           0,           0,           0,        0.48,        1.77,           0,           0,           0,           0,           0,           0,           0,           0,           0,       35.64,        4.49,        0.49,        0.02
         2,        13,       52.00,       12.48,        6.09,       30.93,           0,           0,           0,        0.25,        2.28,           0,           0,           0,           0,           0,           0,           0,           0,           0,       15.20,        2.70,        0.25,           0
         2,        14,      141.99,       37.05,        8.35,       94.34,           0,           0,           0,        0.21,        2.20,           0,           0,           0,           0,           0,           0,           0,           0,           0,       42.44,        5.42,        0.21,           0
         2,        15,        1.02,        1.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        1.09,        0.08,           0,           0
         2,        16,       11.51,        9.21,           0,        2.29,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,       10.47,        1.40,           0,           0
         2,        17,       10.17,        8.36,           0,        1.81,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        9.70,        1.37,           0,           0
         2,        18,        0.01,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.01,           0,           0,           0
         2,        19,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        20,        0.51,        0.51,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.61,        0.11,           0,           0
         2,        21,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        22,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        26,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,        27,      410.57,           0,           0,           0,           0,           0,           0,           0,           0,      375.42,           0,           0,           0,           0,           0,       17.57,       17.58,           0,           0,           0,           0,           0
         3,         1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         4,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         5,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         6,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         7,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         8,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,         9,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        10,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        11,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        12,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        13,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        14,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        15,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        16,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        17,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        18,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        19,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        20,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        21,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        22,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        26,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         3,        27,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         4,         1,     8983.98,     2976.46,      231.25,     2204.34,       17.53,       38.11,           0,      540.82,      662.37,           0,           0,           0,      773.69,     1003.67,      535.83,           0,           0,       55.64,     3286.11,      308.16,      561.83,       21.01
         4,         2,      222.14,       35.58,        0.16,       42.38,           0,           0,           0,       20.89,       20.11,           0,           0,           0,       40.54,       37.20,       25.32,           0,           0,           0,       39.34,        3.77,       21.33,        0.46
         4,         3,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         4,         4,   473315.77,    41606.07,    38593.29,   219746.42,    20209.20,    18698.64,           0,    21290.68,    51583.08,           0,           0,           0,    16520.03,    30575.57,    14538.08,           0,           0,    38907.09,    46648.55,     5044.36,    22693.76,     1403.85
         4,         5,   153958.85,    28423.39,    16056.02,    61277.35,     1206.38,     2549.88,     3433.00,     8448.48,    15702.78,           0,           0,           0,     3108.36,     8631.35,     5202.66,           0,           0,     3754.96,    32293.25,     3876.94,     9150.65,      710.26
         4,         6,      111.45,        4.04,           0,       80.12,           0,           0,           0,        2.71,        7.59,           0,           0,           0,        3.69,        9.65,        3.65,           0,           0,           0,        4.36,        0.32,        2.72,        0.01
         4,         7,        2.60,        1.10,           0,        1.21,           0,           0,           0,        0.15,        0.14,           0,           0,           0,           0,           0,           0,           0,           0,           0,        1.12,        0.02,        0.15,           0
         4,         8,    81149.24,    20500.72,     3426.92,    30873.93,      741.31,     1331.07,      476.00,     4687.62,     7124.19,           0,           0,           0,     1789.11,     6281.70,     4037.49,           0,           0,     2071.69,    23821.15,     3335.05,     5073.85,      392.58
         4,         9,     8179.69,     3093.84,      203.50,     1976.74,        9.87,       42.31,           0,      813.25,      700.27,           0,           0,           0,      212.29,      538.51,      626.06,           0,           0,       52.18,     3566.17,      480.19,      864.49,       54.46
         4,        10,        5.02,           0,           0,        4.68,           0,           0,           0,        0.04,        0.22,           0,           0,           0,        0.01,        0.05,        0.02,           0,           0,           0,           0,           0,        0.04,           0
         4,        11,     1318.77,      703.43,       57.41,      425.23,        0.24,           0,           0,       62.63,       43.34,           0,           0,           0,        2.79,       22.76,        1.97,           0,           0,        0.24,      792.44,       89.21,       65.57,        3.18
         4,        12,     5925.78,     2469.32,      153.06,     2452.33,        2.98,        0.23,       45.00,      338.60,      290.35,           0,           0,           0,       29.16,      131.42,       21.58,           0,           0,        3.21,     2808.64,      344.70,      351.09,       13.81
         4,        13,     2343.15,      993.37,      125.01,      899.54,           0,           0,        6.00,      127.03,      126.20,           0,           0,           0,       13.60,       45.66,       11.68,           0,           0,           0,     1198.23,      208.10,      130.08,        3.72
         4,        14,     6511.69,     2601.15,      217.74,     2494.11,        0.92,        0.65,      233.00,      410.20,      406.92,           0,           0,           0,       16.58,      126.72,       11.21,           0,           0,        1.57,     2948.76,      352.15,      431.86,       22.55
         4,        15,      114.95,       41.99,        0.27,       51.19,        0.06,           0,           0,        6.35,       14.98,           0,           0,           0,           0,        0.21,           0,           0,           0,        0.06,       43.74,        2.34,        6.41,        0.01
         4,        16,     1343.78,      427.87,      127.97,      493.59,        0.71,           0,        1.00,      104.68,      173.36,           0,           0,           0,        0.06,       17.90,           0,           0,           0,        0.71,      475.31,       50.68,      107.07,        1.90
         4,        17,     1329.82,      401.20,      100.13,      570.03,        0.24,           0,           0,       94.01,      147.42,           0,           0,           0,        0.05,       19.77,           0,           0,           0,        0.24,      450.89,       52.13,       95.69,        1.13
         4,        18,       31.50,        8.81,        9.69,        8.78,           0,           0,           0,        1.13,        3.10,           0,           0,           0,           0,           0,           0,           0,           0,           0,        8.90,        0.11,        1.13,           0
         4,        19,        2.57,        2.57,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        2.68,        0.20,           0,           0
         4,        20,      305.80,      182.63,       21.75,       75.00,           0,           0,           0,        4.74,       21.91,           0,           0,           0,           0,           0,           0,           0,           0,           0,      202.99,       21.50,        4.82,        0.01
         4,        21,      212.00,      125.58,        0.16,        5.30,           0,           0,       81.00,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,      135.40,       10.77,           0,           0
         4,        22,       10.20,       10.20,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,       10.50,        0.34,           0,           0
         4,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         4,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
