Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
         0,       90938.22,      115968.81,      799457.52,      114541.96,       48599.46,      127587.11,      400989.65,       75099.28,      125827.34,       44237.32,           0.82,           0.82,           0.18,           0.08,           5.53,           5.53,           1.23,           0.24,       15560.11,       12640.03
         1,      150580.33,      221406.20,     1102866.58,      117572.50,       95961.03,      140262.85,      373023.25,       62741.84,      103366.14,       26976.26,          83.77,          83.77,          10.87,          18.42,         308.53,         308.53,         174.23,         204.53,       25352.69,       12523.10
         2,      138945.39,      178270.43,      772911.99,       48682.22,       74311.07,      111995.42,      257912.52,       29698.48,       47508.18,       14461.10,         125.61,         125.61,          18.82,          31.60,         761.34,         761.34,         206.82,         234.79,       23060.18,        9861.15
         3,      124904.06,      122378.37,      534346.96,       24056.18,       48738.39,       78763.74,      168900.70,       19120.48,       37565.79,       13307.44,         539.89,         532.40,          52.83,          72.19,        1565.72,        1621.59,         401.82,         414.45,       20786.53,        6947.98
         4,      113259.57,       78807.36,      364993.56,       12519.21,       29778.44,       59967.34,      118239.43,       13345.11,       34090.36,       12651.34,         492.75,         500.24,          64.12,          65.41,        1917.84,        1852.63,         245.57,         241.11,       18771.90,        5327.91
         5,      103192.00,       49959.45,      261416.37,        7506.62,       18651.78,       45386.59,       85184.04,       10119.80,       31550.34,       11820.91,         531.02,         530.26,          93.92,          95.10,        2141.99,        2151.33,         247.14,         224.66,       17192.48,        3968.76
         6,       93289.69,       31201.88,      193538.21,        4592.39,       10441.33,       33254.60,       60354.51,        8275.92,       29610.91,       11109.97,         692.61,         670.39,          90.21,          90.33,        1742.16,        1742.79,         188.82,         160.01,       15427.02,        2864.44
         7,       84582.58,       21673.22,      146828.79,        3129.59,        6556.73,       27189.26,       46865.76,        7183.89,       28258.85,       10734.91,        1511.62,        1540.12,         203.09,         240.64,        3504.66,        3482.32,         460.95,         412.30,       14076.16,        2326.42
         8,       76730.23,       15191.52,      112808.20,        2244.55,        4308.58,       22664.24,       37607.39,        6257.61,       26741.53,       10212.28,        1682.41,        1639.93,         283.22,         290.71,        3759.28,        3658.13,         544.07,         445.27,       12811.69,        1909.65
         9,       68401.16,       10828.29,       90844.17,        1612.02,        2741.58,       19576.99,       30064.27,        5636.61,       25426.02,        9927.22,        1497.66,        1483.71,         267.47,         244.21,        3149.66,        2997.57,         388.85,         326.62,       11425.38,        1647.88
        10,       61201.06,        7604.54,       71304.65,        1224.32,        1914.35,       17532.93,       24849.86,        5074.62,       23531.14,        9438.59,        1196.05,        1197.05,         310.27,         298.11,        2237.75,        2424.41,         411.82,         375.90,       10171.41,        1488.85
        11,       54744.55,        5283.00,       59837.92,         934.62,        1462.58,       15211.47,       20168.71,        4505.97,       21665.59,        8813.83,        1152.07,        1160.60,         388.80,         241.61,        2115.04,        2165.02,         459.76,         303.92,        9053.10,        1263.40
        12,       48833.38,        4001.49,       50428.09,         774.38,        1257.38,       13550.60,       17097.94,        3997.40,       19707.36,        8160.00,        1767.61,        1745.54,         411.93,         295.90,        2590.28,        2522.29,         497.93,         366.43,        8086.05,        1104.32
        13,       44336.57,        3244.30,       43866.53,         622.55,         957.09,       12215.34,       14704.63,        3596.09,       17956.80,        7490.11,        1697.40,        1666.98,         387.82,         287.30,        3138.29,        3004.36,         481.59,         363.96,        7393.43,         984.32
        14,       41695.92,        2987.21,       38224.92,         478.84,         822.50,       11249.81,       12733.97,        3168.51,       16086.38,        6803.85,        1804.99,        1824.75,         335.00,         245.46,        2805.78,        2919.19,         409.18,         310.55,        6969.07,         902.21
        15,       36868.57,        2609.26,       32813.05,         385.42,         657.22,       10487.26,       11363.52,        2767.54,       14114.27,        6253.46,        1802.45,        1850.40,         382.45,         287.54,        3501.44,        3556.09,         491.24,         380.51,        6122.16,         842.53
        16,       33506.99,        2045.13,       29169.20,         313.84,         610.74,        9166.26,        9568.36,        2379.00,       12141.12,        5547.16,        1878.74,        1820.00,         320.82,         254.10,        3370.57,        3173.61,         405.63,         335.59,        5495.63,         719.41
        17,       29360.87,        1683.52,       25107.32,         278.57,         480.12,        8448.38,        8305.54,        2037.90,       10114.72,        4931.83,        1926.84,        1800.23,         368.53,         265.64,        3585.99,        3526.76,         452.37,         352.29,        4823.87,         662.21
        18,       26652.48,        1530.31,       22364.06,         247.24,         376.79,        7962.56,        7469.94,        1757.47,        8335.27,        4384.68,        1764.32,        1820.56,         375.91,         268.92,        3363.95,        3341.05,         433.87,         347.30,        4372.65,         625.68
        19,       23229.26,        1288.50,       19433.05,         222.49,         296.54,        7197.86,        6609.41,        1547.40,        6743.30,        3887.21,        2139.09,        2075.24,         421.70,         336.97,        4265.51,        4148.32,         471.84,         418.30,        3845.45,         564.48
        20,       20711.79,        1298.69,       17171.99,         189.49,         286.74,        6880.88,        6052.63,        1389.55,        5474.51,        3522.46,        2245.11,        2194.46,         425.17,         353.45,        4594.61,        4494.73,         472.37,         426.03,        3428.54,         540.95
        21,       18824.86,        1205.71,       15452.51,         166.03,         227.45,        5919.18,        5223.92,        1243.95,        4343.29,        3129.48,        2445.87,        2360.34,         391.65,         364.49,        3282.64,        3284.52,         415.81,         422.15,        3093.67,         443.39
        22,       16993.82,         963.47,       14079.35,         145.48,         209.71,        5448.18,        4705.35,        1142.19,        3437.65,        2757.77,        1945.98,        1990.37,         383.24,         360.33,        3748.91,        3480.49,         403.54,         411.34,        2788.07,         404.88
        23,       14912.94,         843.34,       12575.90,         121.98,         177.26,        4822.96,        4112.65,        1060.63,        2693.31,        2473.22,        2034.48,        2000.19,         338.27,         331.78,        2777.67,        3173.71,         347.55,         356.86,        2444.81,         347.66
        24,       13117.56,         821.48,       11215.50,         104.37,         183.11,        4424.98,        3738.50,        1008.32,        2146.26,        2231.92,        1972.30,        1977.35,         290.74,         307.01,        3084.82,        2707.57,         311.90,         322.82,        2161.14,         314.27
        25,       12087.28,         742.70,        9990.30,          93.34,         173.75,        4163.26,        3476.03,         990.32,        1722.44,        2019.11,        1809.41,        1790.95,         298.58,         316.16,        2837.76,        2977.03,         313.37,         327.46,        1986.80,         293.98
        26,       11381.49,         679.86,        9310.24,          84.22,         174.76,        3926.54,        3242.06,         942.30,        1387.10,        1775.94,        1787.20,        1862.95,         300.06,         362.19,        2854.03,        3094.51,         314.42,         359.10,        1861.98,         277.63
