Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4977.70,        1340.31,       17500.59,        3021.09,        1086.67,        9501.56,       13488.64,              0,              0,              0,              0,           0.25,              0,              0,              0,       63598.01,         902.47,        1829.92,         466.35,         255.23,        1006.48,          74.20,         778.70,        1864.46,          58.72,          36.40,         175.72,         173.02,          30.42,         970.41,          36.68,          37.54,         166.42
         3,       13598.30,       11591.96,      168829.98,       30253.36,       10515.29,       27052.36,       51685.83,              0,              0,              0,              0,              0,              0,              0,              0,       93606.19,        1637.64,        3888.66,         781.95,         373.35,        2085.99,         153.61,        2798.19,        4421.87,         184.92,          83.85,         481.17,         536.86,         210.55,        2049.85,         156.94,         151.48,         575.40
         4,       21499.76,       21935.20,      177163.73,       23236.00,       10302.32,       24446.73,       80874.94,           0.06,              0,              0,              0,           8.02,              0,           0.01,              0,       64183.57,        2441.92,        5630.27,        1139.37,         579.60,        2616.51,         274.49,        3164.28,        3569.73,         137.93,          30.41,         312.21,         314.66,         202.03,         870.11,          59.09,          54.60,         239.97
         5,       30972.03,       42369.22,      304572.09,       53941.82,       25223.40,       28745.66,       90475.87,           0.40,              0,           0.25,           0.07,          24.36,              0,           0.28,           0.22,       42879.20,        2315.46,        5837.26,        1061.81,         494.98,        2644.00,         143.79,        2660.10,        4150.80,         130.54,          48.36,         372.54,         225.92,         210.81,         798.69,          50.21,          47.18,         245.75
         6,       37429.76,       52707.02,      301659.34,       50402.47,       27449.58,       30927.90,       98178.52,           1.30,              0,           0.25,              0,          51.80,              0,           0.43,           0.13,       10972.16,        2542.91,        6435.24,        1175.79,         558.92,        2785.93,          70.77,        2026.30,        5674.98,         114.68,          65.63,         491.25,         109.18,         253.59,        1187.95,          58.45,          50.94,         271.60
         7,       49322.78,       70641.50,      327388.55,       39222.41,       26326.87,       43817.07,      132466.84,           0.35,              0,           1.59,           0.44,          24.09,              0,           0.89,           0.57,       10035.40,        3435.64,        8929.07,        1585.02,         800.07,        3599.01,         102.84,        2851.40,        5855.71,         148.70,          63.30,         528.61,         166.60,         215.82,        1323.38,          84.53,          59.66,         268.24
         8,       49872.32,       71507.92,      312736.50,       22294.53,       23859.65,       42444.21,      120167.91,           5.95,              0,           1.24,           0.43,          86.20,              0,           1.81,           0.59,        7499.35,        3405.31,        8666.00,        1532.57,         729.99,        3452.78,         124.21,        3002.72,        5163.15,         158.43,          57.05,         459.96,         164.43,          98.63,        1087.48,          66.81,          43.56,         187.73
         9,       47907.10,       71072.75,      301043.03,       16494.35,       26957.69,       36688.79,      105850.30,          51.25,              0,           5.93,           1.88,         244.07,              0,           6.41,           2.27,        6692.19,        2932.47,        7880.27,        1432.56,         679.28,        3178.20,         146.92,        3480.88,        4915.95,         193.09,          51.41,         424.63,         223.19,         143.82,        1096.96,         103.45,          67.26,         253.45
        10,       47635.83,       65375.54,      278056.61,       14505.58,       28804.49,       34809.79,       95413.26,         235.02,              0,           8.35,           1.97,         305.12,              0,          15.61,           4.35,        6489.35,        2783.62,        7611.76,        1408.17,         629.79,        3072.83,         159.44,        3527.38,        4343.30,         201.59,          45.88,         380.29,         210.31,         109.80,         930.97,          73.47,          49.14,         193.42
        11,       49770.81,       63706.55,      248561.09,       16367.57,       31288.24,       38676.00,       97114.51,         196.88,              0,           7.20,           1.28,         261.24,              0,          12.74,           2.49,        6281.18,        3108.57,        8129.87,        1480.44,         694.33,        3167.65,         158.31,        3701.39,        4160.94,         181.70,          42.14,         351.08,         232.44,         120.42,         998.33,          86.90,          58.11,         218.10
        12,       50020.38,       57019.31,      224009.64,       15575.14,       29065.97,       37035.15,       88147.59,         640.27,              0,          50.15,           3.90,         593.44,              0,          54.74,           5.30,        5545.80,        2671.09,        7452.38,        1357.26,         622.43,        2864.70,         120.83,        3448.26,        4014.21,         180.18,          45.32,         335.83,         235.33,          95.31,         884.21,          68.24,          46.52,         177.41
        13,       45875.84,       48517.07,      202677.04,       13178.34,       19052.63,       27344.97,       66851.51,         638.68,              0,         116.31,           8.91,         409.94,              0,         134.53,          10.36,        5104.63,        2619.22,        6863.77,        1322.97,         543.47,        2699.39,         116.66,        3586.92,        3940.48,         195.43,          43.22,         320.67,         256.91,         102.36,         955.13,          78.49,          53.53,         202.44
        14,       45749.75,       42441.46,      176383.86,       10791.10,       12094.00,       21734.68,       54280.80,        1032.55,              0,          51.13,           4.22,         834.79,              0,          63.46,           7.65,        4790.49,        2301.33,        6167.75,        1248.01,         505.94,        2486.85,         104.61,        3357.22,        3624.44,         185.43,          38.75,         298.02,         240.81,          99.61,         920.99,          69.52,          47.70,         183.61
        15,       46140.69,       35931.52,      162727.43,        6494.00,       10868.66,       33641.98,       68748.24,         991.20,              0,          60.58,           3.71,        1122.87,              0,          73.79,           7.04,        4178.69,        2191.32,        6012.53,        1147.29,         476.49,        2317.37,         108.40,        3479.57,        3283.62,         194.89,          43.94,         280.27,         241.89,          81.71,         780.74,          62.46,          43.51,         172.51
