ScreenlineID,SEGID_LIST,NUM_SEGMENTS,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,AM_Vol_PC,MD_Vol_PC,PM_Vol_PC,EV_Vol_PC,DY_Vol_PC,AM_Vol_LT,MD_Vol_LT,PM_Vol_LT,EV_Vol_LT,DY_Vol_LT,AM_Vol_MD,MD_Vol_MD,PM_Vol_MD,EV_Vol_MD,DY_Vol_MD,AM_Vol_HV,MD_Vol_HV,PM_Vol_HV,EV_Vol_HV,DY_Vol_HV
1.01,"['0015_349.4', '0089_422.7', '0126_020.8']",3,12223.4,22610.5,15284.7,16389.6,66508.2,9441.1,15631.7,11948.2,12336.9,49357.9,292.7,1441.5,504.1,432.5,2670.8,1202.1,2268.5,1481.8,1292.3,6244.7,1287.5,3268.8,1350.6,2327.9,8234.8
1.02,"['0015_337.0', '0060_000.8', '0084_081.7', '0089_408.1', '0126_007.7', 'WFRC_8006', 'WFRC_8414']",7,42839.5,75846.2,56126.7,58716.7,233529.1,35594.4,54966.8,46938.2,48976.0,186475.4,1929.0,9611.5,3362.9,2879.1,17782.5,3090.3,5642.1,3589.1,3213.4,15534.9,2225.8,5625.8,2236.5,3648.2,13736.3
1.03,"['0108_000.1', '0126_004.6', '0193_003.8', '1470_000.4']",4,14903.2,27411.0,21510.3,22608.6,86433.1,13566.0,23097.3,19726.4,20983.2,77372.9,681.6,3073.0,1143.7,936.7,5835.0,486.2,798.6,485.1,427.7,2197.6,169.4,442.1,155.1,261.0,1027.6
1.04,"['0015_319.5', '0067_007.3', '1428_001.7']",3,37889.5,69085.7,49512.0,52588.9,209076.1,30619.2,46960.8,40189.2,42456.8,160226.0,2380.9,11752.6,4119.0,3562.9,21815.4,2706.0,4940.4,3095.2,2808.5,13550.1,2183.4,5431.9,2108.6,3760.7,13484.6
1.05,"['0015_311.8', '0068_062.6', '0089_383.5', '0215_025.7', '2338_001.9']",5,54307.6,101352.3,73405.4,79645.5,308710.8,45711.7,74034.9,62014.7,67575.2,249336.5,3207.4,15934.8,5610.8,4849.6,29602.6,3089.2,5661.3,3548.0,3234.6,15533.1,2299.3,5721.3,2231.9,3986.1,14238.6
2.01,"['0080_113.3', '0201_010.8', '2250_000.0', '2290_000.0', 'WFRC_8256', 'WFRC_8257']",6,33991.3,57295.6,42406.7,47622.9,181316.5,29238.5,43291.3,36219.5,40740.2,149489.5,1195.2,6162.4,2099.7,1809.7,11267.0,2204.7,4415.1,2683.0,2484.4,11787.2,1352.9,3426.8,1404.5,2588.6,8772.8
2.02,"['0080_117.7', '0201_015.3', '2250_004.6', '2254_001.0', '2269_000.0', '2290_004.6', '2292_001.1', '2322_000.7', '2330_001.0']",9,44668.5,89170.9,63295.8,70743.2,267878.4,38145.7,68873.8,54003.6,61252.5,222275.6,2155.6,11258.1,3976.9,3497.1,20887.7,3278.0,6074.4,4006.7,3657.5,17016.6,1089.2,2964.6,1308.6,2336.1,7698.5
2.03,"['0015_305.2', '0071_020.6', '0089_376.8', '0186_006.9', '2076_005.1', '2128_006.5', '2148_004.3', '2176_002.3', '2178_004.1', '2180_004.7', '2204_002.5', '2258_002.4', '2264_003.2', '2266_006.7', '2274_000.6', '2282_000.5', '2284_000.5', 'WFRC_8409']",18,85298.5,168421.4,119876.3,132974.2,506570.4,74640.5,133539.9,105308.5,117804.1,431293.0,4300.1,22103.7,7396.0,6844.4,40644.2,4546.7,8378.3,5242.2,4989.9,23157.1,1811.2,4399.5,1929.6,3335.8,11476.1
2.04,"['0068_054.8', '0111_009.6', '0154_019.5', '0172_004.5', '0215_017.5', '2040_016.1', '2094_011.5', '2151_001.5', '2154_003.7', '2156_012.1', '2164_003.5', '2168_002.6', '2238_001.5', 'WFRC_8155']",14,69156.0,118217.1,92925.5,96589.5,376888.1,62390.0,98027.4,83812.3,89163.4,333393.1,2691.8,12850.4,4825.9,3592.8,23960.9,3151.5,5492.0,3519.9,2707.8,14871.2,922.7,1847.3,767.4,1125.5,4662.9
2.05,"['0071_018.3', '0089_374.5', '0215_000.7', '2076_003.0', '2148_002.0', '2178_001.8', '2180_002.4', '2186_004.6', '2191_000.0', '2194_001.8', '2204_000.0', '2214_000.0', '2264_000.9', '2266_004.3']",14,43349.7,80604.1,62260.9,60277.8,246492.5,39808.1,68676.9,56850.0,56191.0,221526.0,1675.1,8252.9,3159.3,2279.0,15366.3,1536.5,2777.1,1919.2,1273.9,7506.7,330.0,897.2,332.4,533.9,2093.5
2.06,"['0171_008.8', '0173_007.7', '0266_001.7', '2142_000.3', '2172_008.5']",5,21486.4,45652.8,32216.0,38792.4,138147.6,19913.5,39778.0,29908.0,36585.3,126184.8,887.2,4588.9,1532.4,1466.6,8475.1,657.1,1179.3,741.1,665.9,3243.4,28.6,106.6,34.5,74.6,244.3
2.07,"['0171_010.4', '0173_009.6', '0266_003.0', '2140_002.9', '2142_002.1', '2172_010.4']",6,27954.2,58966.5,40337.8,50417.0,177675.5,25163.6,49312.0,36327.8,46457.0,157260.4,1408.9,7112.5,2416.8,2356.0,13294.2,1269.1,2175.2,1467.6,1361.6,6273.5,112.6,366.8,125.6,242.4,847.4
2.08,"['0068_045.8', '0085_012.5', '0154_010.4', '2034_003.8', '2040_007.6', '2085_002.0', '2094_003.0', '2107_003.5', '2156_003.1', '2161_000.0', 'WFRC_8322', 'WFRC_8326']",12,36800.3,67887.8,52920.7,56268.4,213877.2,34040.2,58234.9,48704.7,52870.5,193850.3,1438.6,7130.6,2649.7,2053.2,13272.1,1135.2,2031.7,1367.8,1070.1,5604.8,186.3,490.6,198.5,274.6,1150.0
2.09,"['0015_293.6', '0071_009.2', '0089_365.5', '2068_004.4', '2087_000.9', '2093_003.2', '2131_000.0', 'WFRC_8223']",8,64366.6,124379.7,86809.9,99682.4,375238.6,55359.8,95787.5,74895.6,86723.0,312765.9,3385.3,16839.0,5681.0,5205.9,31111.2,3632.4,6784.2,4202.5,3879.7,18498.8,1989.1,4969.0,2030.8,3873.8,12862.7
2.11,"['0071_002.9', '0151_002.5', '0154_001.4', '0175_002.9', '0209_010.2', '2080_002.5']",6,34113.7,67785.5,50675.2,55908.0,208482.4,31307.0,57767.2,46326.4,52097.5,187498.1,1495.4,7363.3,2778.9,2316.2,13953.8,1162.7,2269.1,1422.6,1215.4,6069.8,148.6,385.9,147.3,278.9,960.7
2.12,"['0071_005.1', '0154_000.0', '0209_012.5', '2049_000.0', '2055_000.0', '2061_000.2', '2078_000.3', '2080_004.8', '2098_000.7']",9,33074.0,71248.8,48912.7,58748.2,211983.7,30313.0,60929.2,44697.3,54940.0,190879.5,1546.2,7952.8,2753.7,2482.3,14735.0,1127.6,2127.1,1372.0,1192.4,5819.1,87.2,239.7,89.7,133.5,550.1
3.01,"['0015_285.5', '0068_036.0', '2046_002.0', '2057_001.1']",4,54420.6,98114.0,72659.3,80155.7,305349.6,47760.2,76647.9,63666.3,70203.1,258277.5,2544.8,12689.6,4389.9,3862.0,23486.3,2302.0,4256.5,2688.4,2422.6,11669.5,1813.6,4520.0,1914.7,3668.0,11916.3
3.02,"['0145_002.8', '0194_001.9', '2882_000.0', '2895_002.4', '2915_001.5', '2937_003.6']",6,18323.6,32776.7,24135.0,29165.9,104401.2,17127.2,28482.3,22381.4,27797.3,95788.2,434.5,2601.3,771.0,613.7,4420.5,741.6,1605.6,947.2,739.9,4034.3,20.3,87.5,35.4,15.0,158.2
3.03,"['0015_270.6', '0089_340.2', '0114_006.6', '0189_006.3', '2946_002.2', '2954_001.7', '2954_001.9', '2954_002.0', '2958_001.6', '2965_001.6', '2966_001.5', '2969_001.1', '2986_001.0', '3015_001.9', '3040_003.3', 'MAG_6247']",16,55897.0,100718.7,75759.6,79700.5,312075.8,48781.8,80114.3,66464.2,69652.2,265012.5,2052.5,10199.8,3480.7,3169.2,18902.2,3518.3,6535.5,4117.3,3702.5,17873.6,1544.4,3869.1,1697.4,3176.6,10287.5
3.04,"['0015_265.6', '0089_335.0', '0114_001.6', '0189_002.1', '2975_000.4', '3020_000.6', '3024_000.7', '3032_000.5', '3042_001.0']",9,45767.3,83643.8,62713.4,67591.6,259716.1,40074.8,67597.4,55005.6,59417.4,222095.2,1409.0,7125.5,2560.2,2146.9,13241.6,2795.5,5181.8,3479.2,2944.1,14400.6,1488.0,3739.1,1668.4,3083.2,9978.7
3.05,"['0006_173.7', '0015_255.9', '0051_000.0', '0089_324.7', '0156_001.0', '2831_004.4', '2832_000.8', '3037_000.0', 'MAG_6306']",9,32397.9,58794.4,43949.0,50456.3,185597.6,29101.4,49438.7,39491.9,45204.6,163236.6,562.4,3133.8,1122.5,933.7,5752.4,1427.1,2921.9,1796.2,1552.2,7697.4,1307.0,3300.0,1538.4,2765.8,8911.2
