TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    888555, 100.00, 100.00,    112528, 100.00, 100.00,   1952034, 100.00, 100.00,    862543, 100.00, 100.00,    445431, 100.00, 100.00,   4261091, 100.00, 100.00,
    2) Non-Motorized,     29094,   3.27,   3.27,     26960,  23.96,  23.96,    156346,   8.01,   8.01,     57676,   6.69,   6.69,     73482,  16.50,  16.50,    343558,   8.06,   8.06,
    2) Motorized,    859461,  96.73,  96.73,     85568,  76.04,  76.04,   1795688,  91.99,  91.99,    804867,  93.31,  93.31,    371949,  83.50,  83.50,   3917533,  91.94,  91.94
        3) Auto,    838648,  94.38,  97.58,     67106,  59.63,  78.42,   1786927,  91.54,  99.51,    803127,  93.11,  99.78,-,-,-,   3867757,  90.77,  98.73,
            4) Auto 1 pers,    720939,  81.14,  85.96,     48341,  42.96,  72.04,    576021,  29.51,  32.24,    363805,  42.18,  45.30,-,-,-,   1709106,  40.11,  44.19,
                    GP use,    720017,  81.03,  99.87,     48285,  42.91,  99.88,    576144,  29.52, 100.02,    363632,  42.16,  99.95,-,-,-,   1708078,  40.09,  99.94,
                    Toll use,       983,   0.11,   0.14,        56,   0.05,   0.12,       182,   0.01,   0.03,       296,   0.03,   0.08,-,-,-,      1518,   0.04,   0.09
            4) Auto 2 pers,     87964,   9.90,  10.49,     13774,  12.24,  20.53,    597034,  30.59,  33.41,    211240,  24.49,  26.30,-,-,-,    910011,  21.36,  23.53,
                    GP use,     66190,   7.45,  75.25,     10505,   9.34,  76.27,    560733,  28.73,  93.92,    189862,  22.01,  89.88,-,-,-,    827290,  19.41,  90.91,
                    HOV use,     21788,   2.45,  24.77,      3269,   2.91,  23.73,     36340,   1.86,   6.09,     21399,   2.48,  10.13,-,-,-,     82795,   1.94,   9.10,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29680,   3.34,   3.54,      4991,   4.44,   7.44,    613521,  31.43,  34.33,    227950,  26.43,  28.38,-,-,-,    876142,  20.56,  22.65,
                    GP use,     22319,   2.51,  75.20,      3806,   3.38,  76.27,    576185,  29.52,  93.91,    204863,  23.75,  89.87,-,-,-,    807173,  18.94,  92.13,
