SEGIDIDX,SEGID,DISTANCE,DIRECTION,DIRECTION_NAME,FUNCGROUP,SUBAREAID,CO_FIPS,AREATYPE,ATYPENAME,LINKS,LANES,LANEMILES,FT,FTCLASS,CAP1HL,FG_Share,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,AM_Vol_PC,MD_Vol_PC,PM_Vol_PC,EV_Vol_PC,DY_Vol_PC,AM_Vol_LT,MD_Vol_LT,PM_Vol_LT,EV_Vol_LT,DY_Vol_LT,AM_Vol_MD,MD_Vol_MD,PM_Vol_MD,EV_Vol_MD,DY_Vol_MD,AM_Vol_HV,MD_Vol_HV,PM_Vol_HV,EV_Vol_HV,DY_Vol_HV,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHT_PC,MD_VHT_PC,PM_VHT_PC,EV_VHT_PC,DY_VHT_PC,AM_VHT_LT,MD_VHT_LT,PM_VHT_LT,EV_VHT_LT,DY_VHT_LT,AM_VHT_MD,MD_VHT_MD,PM_VHT_MD,EV_VHT_MD,DY_VHT_MD,AM_VHT_HV,MD_VHT_HV,PM_VHT_HV,EV_VHT_HV,DY_VHT_HV,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD,AM_VHD_PC,MD_VHD_PC,PM_VHD_PC,EV_VHD_PC,DY_VHD_PC,AM_VHD_LT,MD_VHD_LT,PM_VHD_LT,EV_VHD_LT,DY_VHD_LT,AM_VHD_MD,MD_VHD_MD,PM_VHD_MD,EV_VHD_MD,DY_VHD_MD,AM_VHD_HV,MD_VHD_HV,PM_VHD_HV,EV_VHD_HV,DY_VHD_HV,AM_PRDFAC,MD_PRDFAC,PM_PRDFAC,EV_PRDFAC,AM_MDPCT,MD_MDPCT,PM_MDPCT,EV_MDPCT,DY_MDPCT,AM_HVPCT,MD_HVPCT,PM_HVPCT,EV_HVPCT,DY_HVPCT
       1.0,0006_141.0,     5.843,Both,All,Total,       1.0,      49.0,       1.0,Rural,        14,       2.0,      11.7,       2.0,Principal Arterial,      1065,    1.0000,     235.7,     393.8,     246.3,     323.2,    1199.0,     212.7,     334.8,     213.3,     280.2,    1041.0,         0,         0,         0,         0,         0,      11.0,      21.0,      19.0,      13.0,      64.0,      12.0,      38.0,      14.0,      30.0,      94.0,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     6.836,     6.836,     6.836,     6.836,     6.837,     6.836,      6390,     12780,      6390,     25560,     51120,      0.07,      0.05,      0.05,      0.02,      0.07,    1377.3,    2301.1,    1439.2,    1888.6,    7006.2,    1242.9,    1956.3,    1246.4,    1637.3,    6082.9,         0,         0,         0,         0,         0,      64.3,     122.7,     111.0,      76.0,     374.0,      70.1,     222.1,      81.8,     175.3,     549.3,    136.60,     26.85,     44.86,     28.06,     36.82,    136.59,     24.23,     38.14,     24.30,     31.93,    118.60,         0,         0,         0,         0,         0,      1.33,      2.54,      2.29,      1.57,      7.73,      1.52,      4.80,      1.76,      3.79,     11.87,         0,         0,         0,     0.008,     0.008,         0,         0,         0,     0.007,     0.007,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     0.006,     0.004,         0,     0.004,     0.014,     0.197,     0.328,     0.205,     0.270,       4.7,       5.3,       7.7,       4.0,       5.3,       5.1,       9.6,       5.7,       9.3,       7.8
       2.0,0006_146.9,     3.039,Both,All,Total,       1.0,      49.0,       1.0,Rural,         6,       2.0,       6.1,       2.0,Principal Arterial,      1065,    1.0000,     247.9,     448.0,     265.6,     339.3,    1300.8,     214.4,     338.8,     215.3,     280.5,    1049.0,      10.5,      50.2,      17.3,      15.8,      93.8,      11.0,      21.0,      19.0,      13.0,      64.0,      12.0,      38.0,      14.0,      30.0,      94.0,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     3.554,     3.554,     3.554,     3.554,     3.554,     3.554,      6390,     12780,      6390,     25560,     51120,      0.07,      0.05,      0.05,      0.02,      0.07,     753.3,    1361.5,     807.2,    1031.2,    3953.2,     651.5,    1029.6,     654.3,     852.5,    3187.9,      31.9,     152.6,      52.5,      48.0,     285.0,      33.5,      63.8,      57.8,      39.5,     194.6,      36.5,     115.5,      42.6,      91.1,     285.7,     77.05,     14.69,     26.53,     15.73,     20.09,     77.04,     12.70,     20.07,     12.75,     16.61,     62.13,      0.63,      2.98,      1.02,      0.93,      5.56,      0.70,      1.33,      1.19,      0.82,      4.04,      0.79,      2.49,      0.92,      1.97,      6.17,     0.001,     0.004,         0,         0,     0.005,     0.001,     0.003,         0,         0,     0.004,     0.008,     0.007,         0,         0,     0.015,     0.008,     0.009,         0,     0.002,     0.019,     0.002,         0,     0.001,     0.001,     0.004,     0.191,     0.344,     0.204,     0.261,       4.4,       4.7,       7.2,       3.8,       4.9,       4.8,       8.5,       5.3,       8.8,       7.2
       3.0,0006_149.9,     0.678,Both,All,Total,       1.0,      49.0,       1.0,Rural,         2,       2.0,       1.4,       2.0,Principal Arterial,      1065,    1.0000,     347.9,     630.4,     415.1,     456.1,    1849.5,     314.5,     514.3,     367.3,     411.1,    1607.2,      18.0,      91.0,      27.6,      24.0,     160.6,      13.4,      19.1,      17.2,      15.0,      64.7,       2.0,       6.0,       3.0,       6.0,      17.0,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     0.793,     0.794,     0.793,     0.794,     0.794,     0.794,      6390,     12780,      6390,     25560,     51120,      0.09,      0.07,      0.07,      0.02,      0.09,     235.9,     427.4,     281.5,     309.3,    1254.1,     213.2,     348.7,     249.0,     278.7,    1089.6,      12.2,      61.7,      18.7,      16.3,     108.9,       9.1,      12.9,      11.6,      10.2,      43.8,       1.4,       4.0,       2.1,       4.0,      11.5,     24.45,      4.60,      8.33,      5.49,      6.03,     24.45,      4.16,      6.80,      4.86,      5.44,     21.26,      0.24,      1.20,      0.37,      0.32,      2.13,      0.19,      0.26,      0.24,      0.21,      0.90,      0.03,      0.08,      0.04,      0.08,      0.23,     0.003,     0.002,     0.005,     0.006,     0.016,     0.003,     0.001,     0.005,     0.006,     0.015,     0.002,         0,     0.005,     0.003,     0.010,     0.002,         0,         0,         0,     0.002,     0.001,         0,         0,         0,     0.001,     0.188,     0.341,     0.224,     0.247,       3.9,       3.0,       4.1,       3.3,       3.5,       0.6,       1.0,       0.7,       1.3,       0.9
       4.0,0006_150.6,     1.973,Both,All,Total,       1.0,      49.0,       1.0,Rural,         8,       2.0,       3.9,       2.0,Principal Arterial,      1065,    1.0000,     412.6,     705.0,     495.2,     526.0,    2138.8,     380.6,     584.9,     445.4,     480.7,    1891.6,      16.6,      93.8,      29.3,      23.9,     163.6,      13.4,      20.3,      17.5,      15.0,      66.2,       2.0,       6.0,       3.0,       6.4,      17.4,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     2.308,     2.308,     2.308,     2.308,     2.308,     2.308,      6390,     12780,      6390,     25560,     51120,      0.10,      0.07,      0.08,      0.03,      0.10,     814.1,    1391.1,     977.0,    1037.9,    4220.1,     750.9,    1154.0,     878.8,     948.5,    3732.2,      32.8,     185.1,      57.8,      47.1,     322.8,      26.4,      40.0,      34.6,      29.6,     130.6,       3.9,      11.8,       5.9,      12.6,      34.2,     82.26,     15.87,     27.12,     19.05,     20.24,     82.28,     14.64,     22.50,     17.13,     18.49,     72.76,      0.63,      3.61,      1.13,      0.92,      6.29,      0.55,      0.83,      0.72,      0.61,      2.71,      0.09,      0.26,      0.13,      0.27,      0.75,     0.001,     0.004,         0,     0.001,     0.006,     0.001,     0.003,         0,     0.001,     0.005,         0,     0.002,     0.003,     0.001,     0.006,     0.003,     0.001,     0.005,         0,     0.009,     0.005,     0.004,     0.002,         0,     0.011,     0.193,     0.330,     0.231,     0.246,       3.2,       2.9,       3.5,       2.9,       3.1,       0.5,       0.9,       0.6,       1.2,       0.8
       5.0,0006_152.6,     0.316,Both,All,Total,       1.0,      49.0,       1.0,Rural,         2,       2.0,       0.6,       3.0,Minor Arterial,       983,    1.0000,     576.9,     927.3,     698.5,     761.0,    2963.7,     539.4,     808.0,     647.9,     716.0,    2711.3,      17.0,      89.0,      27.0,      21.0,     154.0,      18.5,      24.3,      20.6,      17.0,      80.4,       2.0,       6.0,       3.0,       7.0,      18.0,      41.4,      41.3,      41.4,      41.4,      41.4,      41.3,     0.459,     0.459,     0.459,     0.459,     0.459,     0.459,      5898,     11796,      5898,     23592,     47184,      0.14,      0.10,      0.12,      0.03,      0.14,     182.5,     293.3,     220.9,     240.7,     937.4,     170.6,     255.5,     204.9,     226.4,     857.4,       5.4,      28.1,       8.5,       6.6,      48.6,       5.9,       7.7,       6.5,       5.4,      25.5,       0.6,       1.8,       0.9,       2.2,       5.5,     22.66,      4.42,      7.09,      5.34,      5.82,     22.67,      4.13,      6.18,      4.96,      5.48,     20.75,      0.13,      0.68,      0.20,      0.16,      1.17,      0.15,      0.20,      0.17,      0.14,      0.66,      0.02,      0.06,      0.03,      0.06,      0.17,     0.006,     0.002,     0.006,     0.005,     0.019,     0.005,     0.002,     0.006,     0.005,     0.018,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     0.003,     0.008,     0.004,         0,     0.015,     0.195,     0.313,     0.235,     0.257,       3.2,       2.6,       2.9,       2.2,       2.7,       0.3,       0.6,       0.4,       0.9,       0.6
       6.0,0006_152.9,     2.923,Both,All,Total,       1.0,      49.0,       1.0,Rural,         4,       2.0,       5.8,       2.0,Principal Arterial,      1011,    1.0000,     754.1,    1242.4,     906.5,    1005.0,    3908.0,     711.6,    1096.0,     847.8,     959.4,    3614.8,      21.0,     110.8,      37.0,      25.6,     194.4,      20.5,      32.6,      19.7,      15.0,      87.8,       1.0,       3.0,       2.0,       5.0,      11.0,      42.9,      42.9,      42.9,      42.9,      42.9,      42.9,     4.088,     4.089,     4.088,     4.089,     4.088,     4.089,      6064,     12128,      6064,     24257,     48513,      0.18,      0.12,      0.15,      0.04,      0.18,    2204.4,    3631.8,    2649.9,    2937.9,   11424.0,    2080.2,    3203.8,    2478.3,    2804.5,   10566.8,      61.4,     323.9,     108.2,      74.9,     568.4,      59.9,      95.3,      57.6,      43.9,     256.7,       2.9,       8.7,       5.8,      14.6,      32.0,    266.24,     51.40,     84.65,     61.78,     68.47,    266.30,     48.50,     74.68,     57.78,     65.37,    246.33,      1.43,      7.55,      2.52,      1.75,     13.25,      1.50,      2.39,      1.45,      1.10,      6.44,      0.08,      0.23,      0.16,      0.38,      0.85,     0.021,     0.014,     0.023,     0.009,     0.067,     0.020,     0.012,     0.021,     0.008,     0.061,         0,         0,         0,     0.005,     0.005,         0,     0.003,     0.007,     0.001,     0.011,     0.003,         0,     0.006,         0,     0.009,     0.193,     0.318,     0.232,     0.257,       2.7,       2.6,       2.2,       1.5,       2.2,       0.1,       0.2,       0.2,       0.5,       0.3
       7.0,0006_155.8,     0.202,Both,All,Total,       1.0,      49.0,       2.0,Transition,         2,       2.0,       0.4,       2.0,Principal Arterial,      1016,    1.0000,     760.5,    1254.0,     914.1,    1016.8,    3945.4,     717.8,    1106.6,     856.0,     971.8,    3652.2,      21.0,     111.0,      36.4,      25.0,     193.4,      20.7,      33.4,      19.7,      15.0,      88.8,       1.0,       3.0,       2.0,       5.0,      11.0,      43.2,      43.2,      43.2,      43.2,      43.2,      43.2,     0.280,     0.280,     0.280,     0.280,     0.280,     0.280,      6096,     12192,      6096,     24384,     48768,      0.18,      0.12,      0.15,      0.04,      0.18,     153.3,     252.9,     184.3,     205.0,     795.5,     144.7,     223.1,     172.6,     196.0,     736.4,       4.2,      22.4,       7.3,       5.0,      38.9,       4.1,       6.7,       4.0,       3.0,      17.8,       0.2,       0.6,       0.4,       1.0,       2.2,     18.41,      3.55,      5.85,      4.26,      4.75,     18.41,      3.35,      5.17,      3.99,      4.53,     17.04,      0.10,      0.52,      0.17,      0.12,      0.91,      0.10,      0.17,      0.10,      0.08,      0.45,      0.01,      0.02,      0.02,      0.03,      0.08,         0,     0.007,         0,         0,     0.007,         0,     0.006,         0,         0,     0.006,     0.002,     0.002,         0,     0.003,     0.007,         0,     0.002,     0.001,     0.005,     0.008,     0.005,     0.004,     0.009,     0.004,     0.022,     0.193,     0.318,     0.231,     0.258,       2.7,       2.7,       2.2,       1.5,       2.3,       0.1,       0.2,       0.2,       0.5,       0.3
       8.0,0006_155.9,     1.316,Both,All,Total,       1.0,      49.0,       1.0,Rural,         6,       2.0,       2.6,       2.0,Principal Arterial,      1065,    1.0000,     708.3,    1155.2,     843.9,     927.9,    3635.3,     665.8,    1009.0,     783.7,     883.1,    3341.6,      21.9,     111.9,      38.5,      25.8,     198.1,      19.6,      32.3,      19.7,      15.0,      86.6,       1.0,       2.0,       2.0,       4.0,       9.0,      51.3,      51.3,      51.3,      51.3,      51.3,      51.3,     1.540,     1.540,     1.540,     1.540,     1.540,     1.540,      6390,     12780,      6390,     25560,     51120,      0.16,      0.10,      0.14,      0.04,      0.16,     932.2,    1520.3,    1110.6,    1221.1,    4784.2,     876.3,    1327.9,    1031.4,    1162.2,    4397.8,      28.8,     147.2,      50.6,      34.0,     260.6,      25.8,      42.5,      25.9,      19.8,     114.0,       1.3,       2.6,       2.6,       5.2,      11.7,     93.30,     18.18,     29.64,     21.66,     23.81,     93.29,     17.09,     25.90,     20.12,     22.66,     85.77,      0.56,      2.87,      0.98,      0.66,      5.07,      0.54,      0.88,      0.54,      0.41,      2.37,      0.03,      0.06,      0.06,      0.12,      0.27,     0.003,     0.005,     0.007,         0,     0.015,     0.002,     0.004,     0.007,         0,     0.013,         0,         0,         0,         0,         0,     0.006,         0,     0.003,     0.001,     0.010,     0.002,     0.003,     0.003,     0.006,     0.014,     0.195,     0.318,     0.232,     0.255,       2.8,       2.8,       2.3,       1.6,       2.4,       0.1,       0.2,       0.2,       0.4,       0.2
       9.0,0006_157.3,     0.250,Both,All,Total,       1.0,      49.0,       1.0,Rural,         2,       2.0,       0.5,       2.0,Principal Arterial,      1065,    1.0000,     885.8,    1514.3,    1108.3,    1235.6,    4744.0,     837.0,    1336.8,    1033.2,    1176.6,    4383.6,      26.0,     139.0,      51.4,      35.0,     251.4,      20.8,      34.5,      21.7,      19.0,      96.0,       2.0,       4.0,       2.0,       5.0,      13.0,      51.2,      51.2,      51.2,      51.2,      51.2,      51.2,     0.292,     0.292,     0.293,     0.292,     0.292,     0.292,      6390,     12780,      6390,     25560,     51120,      0.19,      0.13,      0.18,      0.05,      0.19,     221.2,     378.0,     276.7,     308.5,    1184.4,     209.0,     333.8,     258.0,     293.8,    1094.6,       6.4,      34.7,      12.8,       8.7,      62.6,       5.1,       8.6,       5.4,       4.7,      23.8,       0.4,       0.9,       0.4,       1.2,       2.9,     23.11,      4.32,      7.38,      5.40,      6.02,     23.12,      4.08,      6.52,      5.03,      5.73,     21.36,      0.12,      0.68,      0.25,      0.17,      1.22,      0.11,      0.18,      0.11,      0.10,      0.50,      0.02,      0.03,      0.02,      0.03,      0.10,     0.002,     0.008,         0,         0,     0.010,     0.002,     0.007,         0,         0,     0.009,         0,     0.003,         0,         0,     0.003,     0.002,     0.002,         0,     0.002,     0.006,     0.009,     0.008,     0.009,     0.003,     0.029,     0.187,     0.319,     0.234,     0.260,       2.3,       2.3,       2.0,       1.5,       2.0,       0.2,       0.3,       0.2,       0.4,       0.3
      10.0,0006_157.6,     0.918,Both,All,Total,       1.0,      49.0,       1.0,Rural,        10,       2.0,       1.8,       2.0,Principal Arterial,      1060,    1.0000,    1008.6,    1752.4,    1275.2,    1443.7,    5479.9,     955.3,    1560.5,    1196.8,    1377.4,    5090.0,      27.5,     151.3,      53.6,      40.3,     272.7,      23.2,      36.6,      22.8,      21.0,     103.6,       2.6,       4.0,       2.0,       5.0,      13.6,      50.3,      50.2,      50.3,      50.2,      50.3,      50.2,     1.096,     1.097,     1.097,     1.097,     1.096,     1.097,      6358,     12717,      6358,     25434,     50867,      0.21,      0.15,      0.21,      0.06,      0.21,     926.3,    1609.3,    1171.0,    1325.8,    5032.4,     877.3,    1433.1,    1099.1,    1264.9,    4674.4,      25.3,     138.9,      49.2,      37.0,     250.4,      21.3,      33.6,      21.0,      19.3,      95.2,       2.4,       3.7,       1.8,       4.6,      12.5,    100.11,     18.44,     32.02,     23.32,     26.38,    100.16,     17.46,     28.52,     21.88,     25.17,     93.03,      0.50,      2.76,      0.98,      0.73,      4.97,      0.45,      0.71,      0.44,      0.40,      2.00,      0.05,      0.08,      0.04,      0.10,      0.27,     0.009,     0.014,     0.018,     0.008,     0.049,     0.008,     0.012,     0.017,     0.007,     0.044,         0,         0,     0.002,         0,     0.002,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     0.184,     0.320,     0.233,     0.263,       2.3,       2.1,       1.8,       1.5,       1.9,       0.3,       0.2,       0.2,       0.3,       0.2
