Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.25,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       11135.94,        6451.57,       94168.50,       18373.19,        6146.30,       27496.61,       45905.66,              0,              0,              0,              0,              0,              0,              0,              0,      110936.19,        1571.01,        3411.10,         787.68,         396.83,        1841.84,         160.42,        2149.38,        5043.25,         158.12,          88.92,         487.95,         396.93,         132.99,        2316.81,         125.94,         120.51,         479.09
         3,       15919.56,       16144.19,      204551.72,       30353.60,       11991.86,       19555.55,       47708.39,           0.59,              0,           0.16,           0.03,          25.11,              0,           0.24,           0.02,       72549.48,        1698.65,        4174.79,         798.37,         429.26,        2206.87,         167.62,        3183.67,        2835.89,         184.11,          45.69,         259.59,         497.69,         209.96,         942.54,         114.62,         111.28,         433.19
         4,       38122.94,       57202.35,      421343.56,       69205.23,       33455.03,       41508.57,      144324.35,           1.78,              0,           0.22,           0.04,          69.10,              0,           0.59,           0.36,       79781.97,        3298.12,        7766.19,        1480.47,         687.40,        3490.79,         308.32,        3515.58,        6452.28,         135.27,          51.02,         522.76,         239.87,         272.62,        1125.17,          63.06,          55.04,         263.71
         5,       41712.30,       67908.51,      396298.18,       60015.50,       35186.19,       38397.43,      114516.81,          14.55,              0,           2.01,           0.43,         133.71,              0,           1.17,           0.60,       18787.77,        2703.73,        6707.52,        1173.00,         537.84,        2954.38,          97.76,        2663.59,        6103.43,         142.05,          68.60,         497.76,         124.27,         253.19,        1192.72,          60.70,          53.26,         273.51
         6,       58873.43,       96711.62,      436059.68,       38304.69,       34482.76,       55527.71,      170020.91,         367.57,              0,          10.87,           4.32,         576.87,              0,          18.89,           4.99,       11801.04,        3779.54,        9688.00,        1725.88,         839.13,        3969.95,         122.70,        3108.07,        7422.45,         166.74,          75.55,         636.48,         181.56,         247.16,        1496.18,         106.97,          72.80,         323.44
         7,       65021.43,      101303.20,      432031.73,       26262.59,       41034.97,       57579.51,      162778.78,         341.83,              0,          60.26,           5.58,         349.93,              0,          72.68,          10.55,        9454.63,        4307.63,       10962.81,        1917.63,         959.80,        4370.55,         175.36,        4116.13,        7550.66,         223.81,          79.63,         634.83,         198.51,         144.11,        1310.06,          95.39,          60.44,         245.21
         8,       61581.89,       94681.16,      379217.66,       24165.33,       47129.78,       49202.08,      135518.28,        1665.56,              0,         133.95,           4.25,        1402.73,              0,         122.96,           6.70,        8199.59,        3520.40,        9424.40,        1704.52,         789.59,        3822.13,         202.63,        4543.12,        6489.25,         247.66,          61.38,         524.98,         270.91,         170.47,        1247.30,         123.67,          81.10,         303.97
         9,       66002.91,       88019.99,      329015.59,       23071.33,       37153.97,       49883.25,      126418.95,        1923.82,              0,         128.58,          14.19,        1535.83,              0,         189.81,          21.53,        8033.22,        3554.50,        9901.97,        1789.82,         812.56,        3876.13,         168.79,        4408.12,        5775.15,         232.87,          56.48,         465.12,         255.01,         145.64,        1187.57,         106.57,          71.12,         262.20
