TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805050, 100.00, 100.00,         0, 100.00, 100.00,   3845059, 100.00, 100.00,   1749948, 100.00, 100.00,    250650, 100.00, 100.00,   6650706, 100.00, 100.00,
    2) Non-Motorized,     34084,   4.23,   4.23,         0,      0,      0,    303974,   7.91,   7.91,    144498,   8.26,   8.26,     41299,  16.48,  16.48,    523854,   7.88,   7.88,
    2) Motorized,    770966,  95.77,  95.77,         0,      0,      0,   3541085,  92.09,  92.09,   1605450,  91.74,  91.74,    209351,  83.52,  83.52,   6126852,  92.12,  92.12
        3) Auto,    755804,  93.88,  98.03,         0,      0,      0,   3520261,  91.55,  99.41,   1600789,  91.48,  99.71,-,-,-,   6086205,  91.51,  99.34,
            4) Auto 1 pers,    628462,  78.07,  83.15,         0,      0,      0,   1264783,  32.89,  35.93,    696023,  39.77,  43.48,-,-,-,   2589269,  38.93,  42.54,
                    GP use,    627588,  77.96,  99.86,         0,      0,      0,   1264743,  32.89, 100.00,    695045,  39.72,  99.86,-,-,-,   2587377,  38.90,  99.93,
                    Toll use,       916,   0.11,   0.15,         0,      0,      0,       513,   0.01,   0.04,      1164,   0.07,   0.17,-,-,-,      2593,   0.04,   0.10
            4) Auto 2 pers,     98119,  12.19,  12.98,         0,      0,      0,   1226229,  31.89,  34.83,    450677,  25.75,  28.15,-,-,-,   1775024,  26.69,  29.16,
                    GP use,     77239,   9.59,  78.72,         0,      0,      0,   1152599,  29.98,  94.00,    406829,  23.25,  90.27,-,-,-,   1636667,  24.61,  92.21,
                    HOV use,     20885,   2.59,  21.29,         0,      0,      0,     73693,   1.92,   6.01,     43876,   2.51,   9.74,-,-,-,    138454,   2.08,   7.80,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29170,   3.62,   3.86,         0,      0,      0,   1028704,  26.75,  29.22,    453890,  25.94,  28.35,-,-,-,   1511764,  22.73,  24.84,
                    GP use,     22958,   2.85,  78.71,         0,      0,      0,    966900,  25.15,  93.99,    409714,  23.41,  90.27,-,-,-,   1399572,  21.04,  92.58,
                    HOV use,      6212,   0.77,  21.30,         0,      0,      0,     61819,   1.61,   6.01,     44185,   2.52,   9.73,-,-,-,    112216,   1.69,   7.42,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        53,   0.01,   0.01,         0,      0,      0,       548,   0.01,   0.02,       220,   0.01,   0.01,-,-,-,       821,   0.01,   0.01,
                    IMZ D2D 1 pers,        45,   0.01,  84.91,         0,      0,      0,       468,   0.01,  85.40,       187,   0.01,  85.00,-,-,-,       700,   0.01,  85.26,
                    IMZ D2D 2 pers,         6,   0.00,  11.32,         0,      0,      0,        63,   0.00,  11.50,        26,   0.00,  11.82,-,-,-,        95,   0.00,  11.57,
                    IMZ D2D 3+ pers,         2,   0.00,   3.77,         0,      0,      0,        17,   0.00,   3.10,         7,   0.00,   3.18,-,-,-,        26,   0.00,   3.17
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    209351,  83.52,  83.52,    209351,   3.15,  83.52,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     28210,  11.25,  13.48,     28210,   0.42,  13.48,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30637,  12.22,  14.63,     30637,   0.46,  14.63,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    150503,  60.05,  71.89,    150503,   2.26,  71.89,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,     96692,  38.58,  46.19,     96692,   1.45,  46.19,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     10707,   4.27,  11.07,     10707,   0.16,  11.07,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     85985,  34.30,  88.93,     85985,   1.29,  88.93,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    112658,  44.95,  53.81,    112658,   1.69,  53.81,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     17503,   6.98,  15.54,     17503,   0.26,  15.54,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30637,  12.22,  27.19,     30637,   0.46,  27.19,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     64518,  25.74,  57.27,     64518,   0.97,  57.27
        3) Transit,     15163,   1.88,   1.97,         0,      0,      0,     20828,   0.54,   0.59,      4661,   0.27,   0.29,-,-,-,     40652,   0.61,   0.66
            4) Local Bus (LCL),      6053,   0.75,  39.92,         0,      0,      0,      8836,   0.23,  42.42,      1592,   0.09,  34.15,-,-,-,     16480,   0.25,  40.54,
                    LCL Walk,      5758,   0.72,  95.14,         0,      0,   0.00,      8536,   0.22,  96.61,      1580,   0.09,  99.26,-,-,-,     15874,   0.24,  96.32,
                    LCL Drive,       294,   0.04,   4.86,         0,      0,   0.00,       300,   0.01,   3.39,        12,   0.00,   0.74,-,-,-,       606,   0.01,   3.68
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),       626,   0.08,   4.13,         0,      0,      0,      1534,   0.04,   7.37,       683,   0.04,  14.66,-,-,-,      2844,   0.04,   6.99,
                    BRT Walk,       609,   0.08,  97.28,         0,      0,   0.00,      1522,   0.04,  99.21,       671,   0.04,  98.14,-,-,-,      2802,   0.04,  98.53,
                    BRT Drive,        17,   0.00,   2.72,         0,      0,   0.00,        12,   0.00,   0.79,        13,   0.00,   1.86,-,-,-,        42,   0.00,   1.47
            4) Express Bus (EXP),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    EXP Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    EXP Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Light-Rail Transit (LRT),      6288,   0.78,  41.47,         0,      0,      0,      8232,   0.21,  39.52,      2096,   0.12,  44.96,-,-,-,     16615,   0.25,  40.87,
                    LRT Walk,      5083,   0.63,  80.84,         0,      0,   0.00,      7500,   0.20,  91.11,      2004,   0.11,  95.62,-,-,-,     14587,   0.22,  87.79,
                    LRT Drive,      1204,   0.15,  19.16,         0,      0,   0.00,       732,   0.02,   8.89,        92,   0.01,   4.38,-,-,-,      2028,   0.03,  12.21
            4) Commuter-Rail Transit (CRT),      2183,   0.27,  14.39,         0,      0,      0,      2204,   0.06,  10.58,       281,   0.02,   6.03,-,-,-,      4668,   0.07,  11.48,
                    CRT Walk,       854,   0.11,  39.15,         0,      0,   0.00,      1079,   0.03,  48.97,       188,   0.01,  67.01,-,-,-,      2122,   0.03,  45.46,
                    CRT Drive,      1328,   0.16,  60.85,         0,      0,   0.00,      1125,   0.03,  51.03,        93,   0.01,  32.99,-,-,-,      2546,   0.04,  54.54,
  
   Model: v10x,
   Scenario: C63,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Off-Peak Period,
   Shares\RegionShares_Ok.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
