I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   129434.02,    11194.05,     9725.39,    50308.17,     4140.33,     4106.67,           0,     7277.45,    17289.93,           0,           0,           0,    15782.64,     5432.05,     4178.16,           0,           0,     8247.00,    60033.13,    24567.55,           0,    50308.17,    12436.40,     1241.87,     7753.63,      475.84,    12686.08,      589.72,     1496.60,      276.75,      114.33,      619.19,       56.25,      733.80,     4127.11,      118.28,       78.82,      317.84,      474.95,      342.46,     2382.36,      203.49,      145.59,      629.45,           0,           0,           0,           0,           0,           0
         1,         2,      883.83,       69.25,        3.91,      345.38,           0,           0,           0,       81.30,      150.54,           0,           0,           0,      170.81,       46.59,       16.54,           0,           0,           0,      349.25,      231.82,           0,      345.38,       76.44,        7.26,       84.55,        3.29,      133.85,        6.83,       19.77,        2.53,        0.76,        7.09,        0.10,        2.82,       41.03,        0.65,        0.36,        1.64,        2.33,        1.11,        9.96,        0.67,        0.28,        2.19,           0,           0,           0,           0,           0,           0
         1,         3,        0.25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9419.49,     1833.39,      436.31,     3338.59,      240.31,      341.68,           0,      636.95,      867.75,           0,           0,           0,      473.25,      717.35,      534.57,           0,           0,      581.99,     3774.90,     1504.58,           0,     3338.59,     2043.49,      210.11,      667.34,       30.12,      142.34,       46.22,      182.28,       33.31,        8.94,       60.16,        3.78,       89.18,      554.28,       22.35,       13.94,       33.84,       81.30,       65.35,      210.76,       58.77,       31.91,       86.49,           0,           0,           0,           0,           0,           0
         1,         5,     4834.73,     1202.55,       89.14,     1405.14,       15.25,       27.49,      217.00,      413.87,      405.44,           0,           0,           0,      218.57,      481.03,      362.53,           0,           0,       42.74,     1494.20,      818.63,           0,     1405.14,     1356.38,      155.55,      440.46,       26.81,       10.17,       28.38,      112.42,       25.66,        7.85,       34.08,        4.32,       63.48,      361.09,       15.99,       10.79,       25.36,       47.16,       39.89,      175.32,       32.27,       15.16,       52.73,           0,           0,           0,           0,           0,           0
         1,         6,        6.53,        0.06,           0,        2.02,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        4.26,        0.04,           0,           0,           0,           0,        2.02,        0.15,           0,        2.02,        0.06,           0,        0.04,           0,        4.26,           0,           0,           0,           0,           0,           0,           0,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.06,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     2842.40,      864.90,       14.81,      861.09,       14.26,       29.41,       24.00,      368.73,      318.71,           0,           0,           0,      208.60,      124.13,       15.59,           0,           0,       43.67,      875.90,      687.00,           0,      861.09,      997.32,      134.36,      393.29,       25.00,        1.01,       26.85,      115.05,       24.17,        7.29,       34.24,        0.11,       10.46,       96.90,        1.55,        1.82,       13.29,        4.11,        1.17,        7.69,        1.05,        0.41,        1.16,           0,           0,           0,           0,           0,           0
         1,         9,      665.34,      163.48,       15.40,      210.72,        1.75,        1.85,           0,       75.36,       72.38,           0,           0,           0,       68.81,       47.82,        7.96,           0,           0,        3.60,      226.10,      147.71,           0,      210.72,      184.40,       20.71,       77.55,        2.21,           0,        6.66,       39.47,       10.50,        2.89,        9.28,        0.01,        3.57,       36.77,        0.17,        0.88,        6.42,        0.44,        0.43,        5.83,        0.38,        0.20,        0.68,           0,           0,           0,           0,           0,           0
         1,        10,        0.53,           0,           0,        0.52,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.52,        0.01,           0,        0.52,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        11,      220.62,       88.31,        5.62,       61.46,           0,           0,           0,        6.60,        1.94,           0,           0,           0,       14.23,       27.37,       15.36,           0,           0,           0,       67.09,        8.49,           0,       61.46,       98.32,       10.01,        6.78,        0.28,           0,        0.72,        6.96,        2.92,        1.00,        2.66,           0,       16.95,        7.97,        2.14,        0.14,        0.20,           0,        1.60,        6.52,        1.28,        2.14,        3.82,           0,           0,           0,           0,           0,           0
         1,        12,     1046.15,      285.08,        9.74,      439.04,        0.12,           0,        9.00,       43.55,       20.37,           0,           0,           0,       64.85,      116.54,       58.26,           0,           0,        0.12,      448.77,       63.84,      168.00,      271.04,      318.38,       33.23,       44.41,        0.89,           0,        3.04,       33.16,       13.00,        4.40,       11.29,        0.02,       72.42,       35.15,        8.08,        0.41,        0.54,           0,        5.94,       29.49,        3.97,        6.37,       12.50,           0,           0,           0,           0,           0,           0
         1,        13,      390.11,      122.88,       10.21,      170.56,           0,           0,        2.00,       20.23,       15.48,           0,           0,           0,       20.17,       22.62,        6.06,           0,           0,           0,      180.76,       35.68,           0,      170.56,      144.51,       21.44,       20.41,        0.19,           0,        0.66,       12.14,        3.95,        1.19,        2.23,           0,       14.21,        7.28,        1.10,           0,        0.03,           0,        0.17,        4.63,        0.11,        0.14,        1.01,           0,           0,           0,           0,           0,           0
         1,        14,      942.58,      322.55,       13.33,      382.90,           0,           0,        7.00,       52.65,       25.28,           0,           0,           0,       44.68,       73.23,       21.92,           0,           0,           0,      396.23,       77.69,           0,      382.90,      356.18,       33.47,       55.18,        2.83,           0,        3.09,       25.69,        9.05,        1.19,        5.78,           0,       49.25,       21.86,        1.90,        0.03,        0.25,           0,        1.15,       16.46,        0.34,        0.60,        3.37,           0,           0,           0,           0,           0,           0
         1,        15,        8.43,        2.46,           0,        0.44,           0,           0,           0,           0,           0,           0,           0,           0,        0.20,        1.50,        3.83,           0,           0,           0,        0.44,           0,           0,        0.44,        2.47,        0.03,           0,           0,           0,           0,        0.04,        0.13,        0.01,        0.02,           0,        1.27,        0.20,        0.03,           0,           0,           0,        0.11,        1.46,        0.14,        0.35,        1.77,           0,           0,           0,           0,           0,           0
