I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,TOT
    1,    1,  11003.62,         0,   8247.08,  60038.60,  24570.16,         0,         0,         0,  15728.29,   5433.09,   4178.74,         0,         0, 129199.58
    1,    2,     45.30,         0,         0,    349.27,    231.85,         0,         0,         0,    170.22,     46.61,     16.55,         0,         0,    859.80
    1,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.27,         0,         0,         0,         0,      0.27
    1,    4,   1950.94,         0,    582.13,   3775.17,   1505.08,         0,         0,         0,    524.32,    717.70,    534.78,         0,         0,   9590.12
    1,    5,   1220.39,    217.00,     42.73,   1494.07,    819.11,         0,         0,         0,    241.94,    481.14,    362.63,         0,         0,   4879.01
    1,    6,      0.02,         0,         0,      2.02,      0.15,         0,         0,         0,      4.76,      0.04,         0,         0,         0,      6.99
    1,    7,         0,         0,         0,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    1,    8,    973.42,     24.00,     43.61,    875.41,    687.03,         0,         0,         0,    202.39,    124.17,     15.60,         0,         0,   2945.63
    1,    9,    211.33,         0,      3.55,    225.98,    147.63,         0,         0,         0,     65.92,     47.77,      7.96,         0,         0,    710.14
    1,   10,         0,         0,         0,      0.52,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.53
    1,   11,     81.95,         0,         0,     66.56,      8.45,         0,         0,         0,     13.64,     27.25,     15.33,         0,         0,    213.18
    1,   12,    267.45,      9.00,      0.12,    447.88,     63.53,         0,         0,         0,     62.23,    116.23,     58.23,         0,         0,   1024.67
    1,   13,    100.88,      2.00,         0,    180.67,     35.62,         0,         0,         0,     19.18,     22.58,      6.03,         0,         0,    366.96
    1,   14,    247.86,      7.00,         0,    395.36,     77.58,         0,         0,         0,     42.73,     73.03,     21.91,         0,         0,    865.47
    1,   15,      3.57,         0,         0,      0.45,         0,         0,         0,         0,      0.20,      1.49,      3.81,         0,         0,      9.52
    1,   16,     38.36,         0,         0,     22.28,      2.59,         0,         0,         0,      8.24,     17.42,     19.34,         0,         0,    108.23
    1,   17,     36.61,         0,         0,     29.21,      2.63,         0,         0,         0,      8.82,     15.87,     12.25,         0,         0,    105.39
    1,   18,      0.38,         0,         0,      0.06,         0,         0,         0,         0,      0.02,         0,         0,         0,         0,      0.46
