TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,215.6,152.5,126.4,57.5,7.6,11.3,20.5,0.1,13.2,0.0,73.5,49.3,5.3,0.0,5.4,0.0,2.0,2.1,6.4,6.1,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.3
3,30003,3,1,1,284.0,167.7,204.4,84.7,14.5,19.0,30.8,0.1,21.4,0.0,119.7,71.4,9.2,0.0,9.4,0.0,3.4,3.3,10.6,9.9,0.0,0.0,0.0,0.0,14.5,0.0,0.0,19.0
4,30004,3,1,1,67.6,63.6,6.8,3.2,0.8,0.9,1.1,0.0,0.8,0.0,4.2,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.9
5,30005,3,1,1,752.0,397.6,616.1,252.4,35.0,54.4,95.9,4.8,61.6,0.0,350.4,208.8,31.1,0.0,31.6,0.0,11.7,10.8,29.8,28.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0,54.4
6,30006,3,1,1,99.2,105.2,25.7,28.3,2.0,6.8,3.4,8.5,2.6,0.0,14.9,17.4,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.8
7,30007,3,1,1,501.0,406.3,351.4,235.5,25.2,53.6,50.6,35.7,35.1,8.4,196.5,156.0,15.6,0.0,15.8,0.0,12.6,12.2,25.1,23.2,0.0,0.0,0.0,0.0,25.2,0.0,0.0,53.6
8,30008,3,1,2,752.9,572.7,593.9,378.1,49.9,95.3,74.0,40.9,47.9,70.1,274.9,173.4,24.6,0.0,25.1,0.0,21.3,20.0,77.2,73.7,48.0,0.0,1.0,0.0,49.9,0.0,0.0,95.3
9,30009,3,1,1,418.1,567.8,142.4,272.4,32.2,57.4,19.1,98.6,13.1,0.0,74.5,150.8,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,32.2,0.0,0.0,57.4
10,30010,3,1,1,504.4,619.2,204.3,309.0,44.2,65.0,27.8,102.7,19.5,0.0,110.0,178.5,8.4,0.0,8.6,0.0,18.6,17.6,10.5,10.2,0.0,0.0,1.0,0.0,44.2,0.0,0.0,65.0
11,30011,3,1,1,198.7,129.5,70.5,28.5,17.0,6.0,11.5,0.0,7.0,0.0,40.9,24.8,3.6,0.0,3.7,0.0,0.8,0.9,2.8,2.8,0.0,0.0,0.0,0.0,17.0,0.0,0.0,6.0
12,30012,3,1,1,294.6,193.1,160.0,68.6,21.5,16.2,27.0,0.2,16.1,0.0,91.5,58.8,7.8,0.0,7.9,0.0,2.3,2.3,7.3,7.2,0.0,0.0,0.0,0.0,21.5,0.0,0.0,16.2
13,30013,3,1,2,109.3,109.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,109.3,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,577.4,1253.8,65.3,617.8,2.3,144.4,1.3,367.5,1.0,0.0,5.1,196.8,0.4,0.0,0.5,0.0,55.3,51.8,1.6,1.7,0.0,0.0,0.0,0.0,2.3,0.0,0.0,144.4
16,30016,3,1,2,277.9,556.2,23.2,252.2,2.4,57.8,1.2,99.5,1.0,0.0,4.8,138.3,0.4,0.0,0.4,0.0,14.3,13.2,1.1,1.2,0.0,0.0,0.0,0.0,2.4,0.0,0.0,57.8
17,30017,3,1,1,145.8,123.2,29.5,11.8,6.4,2.6,4.7,0.0,3.1,0.0,17.2,10.3,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,6.4,0.0,0.0,2.6
18,30018,3,1,1,1268.8,2937.5,172.6,1523.5,0.0,341.5,0.0,1108.1,0.0,0.0,1.0,258.3,0.0,0.0,0.0,0.0,168.4,154.9,2.2,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,341.5
19,30019,3,1,2,3175.8,1607.4,2452.9,1142.0,528.2,263.8,372.5,18.4,230.8,61.5,1373.1,854.2,126.5,0.0,129.2,0.0,57.1,52.9,161.6,154.9,0.0,0.0,2.0,0.0,528.2,0.0,0.0,263.8
20,30020,3,1,3,1775.9,1541.4,1343.1,1035.2,181.1,253.0,221.4,143.0,140.1,52.7,717.2,670.8,42.1,0.0,43.1,0.0,60.7,56.3,117.5,112.4,0.0,0.0,1.0,0.0,181.1,0.0,0.0,253.0
21,30021,3,1,2,750.3,1759.8,117.6,911.1,0.0,224.4,0.0,758.8,0.0,0.0,1.0,45.9,0.0,0.0,0.0,0.0,115.3,106.1,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,224.4
22,30022,3,1,2,115.6,123.3,20.4,25.8,5.6,6.5,2.9,15.5,1.9,0.0,10.6,7.3,1.0,0.0,1.0,0.0,2.3,2.2,0.8,0.8,0.0,0.0,0.0,0.0,5.6,0.0,0.0,6.5
23,30023,3,1,2,208.8,320.2,40.9,127.6,8.7,31.6,4.6,72.0,3.1,0.0,17.5,43.9,1.7,0.0,1.7,0.0,10.6,10.1,1.6,1.6,0.0,0.0,0.0,0.0,8.7,0.0,0.0,31.6
24,30024,3,1,2,1871.0,863.7,1418.6,593.0,323.3,133.2,219.6,3.8,135.9,0.0,813.9,500.9,75.4,0.0,77.0,0.0,25.7,23.9,67.0,64.4,3.0,0.0,1.0,0.0,323.3,0.0,0.0,133.2
25,30025,3,1,3,4089.7,3224.0,3284.8,2555.4,573.4,429.3,468.5,151.8,313.0,21.9,1815.9,1307.8,164.4,743.6,167.8,0.0,116.9,108.2,231.3,222.1,6.0,0.0,1.0,0.0,573.4,0.0,0.0,429.3
26,30026,3,1,3,2608.8,2277.6,2014.6,1592.7,303.3,389.7,285.3,223.8,192.4,80.6,1058.8,983.4,76.4,0.0,78.0,0.0,107.3,99.2,214.4,205.7,1.0,0.0,1.0,0.0,303.3,0.0,0.0,389.7
27,30027,3,1,2,109.5,114.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,30028,3,1,2,224.9,411.8,30.1,169.0,2.0,45.7,1.5,145.1,1.0,0.0,5.0,3.6,0.4,0.0,0.4,0.0,21.5,19.9,0.4,0.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45.7
29,30029,3,1,3,2947.3,1480.3,2384.5,1033.0,365.3,240.9,404.7,5.4,241.3,0.0,1334.6,872.3,110.8,0.0,113.1,0.0,45.6,42.4,117.4,112.9,16.0,0.0,1.0,0.0,365.3,0.0,0.0,240.9
30,30030,3,1,3,2870.6,2197.7,2345.3,1600.4,313.3,380.1,372.2,105.2,248.4,57.0,1301.2,1152.2,72.3,6.6,73.8,16.3,77.6,71.9,198.8,191.2,0.0,0.0,1.0,0.0,313.3,0.0,0.0,380.1
31,30031,3,1,3,2900.7,2837.4,2301.9,1968.5,237.2,508.2,284.4,291.0,192.2,133.4,1026.6,906.0,62.1,0.0,63.4,0.0,222.5,205.4,449.7,432.6,0.0,0.0,1.0,0.0,237.2,0.0,0.0,508.2
32,30032,3,1,3,1268.6,735.8,1021.9,503.4,138.3,118.3,160.9,4.5,106.2,0.0,588.2,424.5,43.8,0.0,44.8,0.0,21.8,20.2,56.3,54.1,0.0,0.0,0.0,0.0,138.3,0.0,0.0,118.3
33,30033,3,1,3,1606.8,1074.8,1328.8,757.4,146.5,180.7,211.0,18.5,143.3,0.0,763.9,628.6,46.3,0.0,47.2,0.0,34.0,31.3,82.2,79.0,0.0,0.0,1.0,0.0,146.5,0.0,0.0,180.7
34,30034,3,1,3,2193.1,1322.3,1832.9,940.8,207.4,224.0,287.7,35.3,190.2,8.7,1044.8,752.0,77.4,0.0,79.1,0.0,44.6,41.4,108.2,103.4,0.0,0.0,1.0,0.0,207.4,0.0,0.0,224.0
35,30035,3,1,3,2768.5,1709.5,2402.2,1245.9,207.4,297.8,380.5,5.8,254.8,0.0,1373.7,1053.1,91.1,0.0,93.0,0.0,54.9,51.0,142.1,136.0,11.0,0.0,1.0,0.0,207.4,0.0,0.0,297.8
